# Weather station Umaria, India, WMO_ID=42679,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42679&lang=en
#
"Local time in Umaria";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.11.2016 08:30";"12.8";"724.8";"765.7";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"9.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.9";"";"";"";"";"";"";
"16.11.2016 17:30";"22.8";"723.3";"762.7";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.4";"";"";"";"";"";"";
"16.11.2016 08:30";"13.4";"724.9";"765.7";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"9.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.5";"";"";"";"";"";"";
"15.11.2016 17:30";"26.2";"722.2";"761.0";"";"54";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.1";"";"";"";"";"";"";
"15.11.2016 08:30";"14.0";"724.1";"764.7";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"9.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.0";"";"";"";"";"";"";
"14.11.2016 17:30";"24.6";"722.2";"761.2";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.6";"";"";"";"";"";"";
"14.11.2016 08:30";"13.2";"724.2";"765.0";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"8.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.9";"";"";"";"";"";"";
"13.11.2016 17:30";"24.6";"722.9";"762.0";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.9";"";"";"";"";"";"";
"13.11.2016 08:30";"13.0";"724.9";"765.7";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"8.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.7";"";"";"";"";"";"";
"12.11.2016 17:30";"25.2";"722.0";"761.0";"";"57";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.1";"";"";"";"";"";"";
"12.11.2016 08:30";"12.0";"723.3";"764.2";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"9.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"8.8";"";"";"";"";"";"";
"11.11.2016 17:30";"26.6";"720.9";"759.6";"";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.9";"";"";"";"";"";"";
"11.11.2016 08:30";"13.0";"722.5";"763.2";"";"93";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.9";"";"";"";"";"";"";
"10.11.2016 17:30";"25.4";"720.5";"759.4";"";"57";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.3";"";"";"";"";"";"";
"10.11.2016 08:30";"12.2";"723.3";"764.2";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"8.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.4";"";"";"";"";"";"";
"09.11.2016 17:30";"23.8";"721.3";"760.4";"";"66";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.0";"";"";"";"";"";"";
"09.11.2016 08:30";"13.2";"723.2";"763.9";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.7";"";"";"";"";"";"";
"08.11.2016 17:30";"25.0";"721.1";"760.0";"";"60";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.6";"";"";"";"";"";"";
"08.11.2016 08:30";"14.6";"723.1";"763.6";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.4";"";"";"";"";"";"";
"07.11.2016 08:30";"15.0";"722.3";"762.7";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"11.9";"";"";"";"";"";"";
"06.11.2016 17:30";"25.4";"719.6";"758.4";"";"48";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.5";"";"";"";"";"";"";
"06.11.2016 08:30";"16.2";"720.7";"760.8";"";"90";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.6";"";"";"";"";"";"";
"05.11.2016 17:30";"25.8";"717.8";"756.4";"";"56";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.4";"";"";"";"";"";"";
"05.11.2016 08:30";"20.0";"720.4";"760.0";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.4";"";"";"";"";"";"";
"04.11.2016 17:30";"26.4";"719.1";"757.7";"";"56";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.8";"";"";"";"";"";"";
"04.11.2016 08:30";"19.4";"722.0";"761.7";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.8";"";"";"";"";"";"";
"03.11.2016 17:30";"28.6";"720.9";"759.4";"";"49";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.8";"";"";"";"";"";"";
"03.11.2016 08:30";"20.6";"724.4";"764.1";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.0";"";"";"";"";"";"";
"02.11.2016 17:30";"28.4";"721.0";"759.5";"";"51";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.3";"";"";"";"";"";"";
"02.11.2016 08:30";"17.4";"724.1";"764.3";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.0";"";"";"";"";"";"";
"01.11.2016 17:30";"26.4";"722.0";"760.8";"";"50";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.2";"";"";"";"";"";"";
"01.11.2016 08:30";"15.8";"724.3";"764.7";"";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.3";"";"";"";"";"";"";
"31.10.2016 08:30";"16.8";"724.9";"765.2";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.4";"";"";"";"";"";"";
"30.10.2016 17:30";"26.6";"721.6";"760.3";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.8";"";"";"";"";"";"";
"30.10.2016 08:30";"16.2";"722.8";"763.1";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"29.10.2016 17:30";"26.6";"720.6";"759.3";"";"48";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.7";"";"";"";"";"";"";
"29.10.2016 08:30";"17.0";"722.1";"762.2";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.6";"";"";"";"";"";"";
"28.10.2016 17:30";"27.4";"719.9";"758.5";"";"46";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.9";"";"";"";"";"";"";
"28.10.2016 08:30";"16.6";"722.5";"762.7";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.5";"";"";"";"";"";"";
"27.10.2016 17:30";"27.6";"720.8";"759.4";"";"55";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.8";"";"";"";"";"";"";
"27.10.2016 08:30";"18.7";"722.2";"762.1";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"26.10.2016 17:30";"28.8";"719.6";"758.0";"";"62";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"26.10.2016 08:30";"19.6";"720.5";"760.1";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.3";"";"";"";"";"";"";
"25.10.2016 17:30";"31.0";"716.9";"754.8";"";"46";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.0";"";"";"";"";"";"";
"25.10.2016 08:30";"22.6";"719.5";"758.7";"";"64";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.3";"";"";"";"";"";"";
"24.10.2016 17:30";"29.4";"717.3";"755.5";"";"60";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"24.10.2016 08:30";"22.2";"712.5";"751.3";"";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.2";"";"";"";"";"";"";
"23.10.2016 17:30";"30.4";"718.4";"756.5";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"23.10.2016 08:30";"20.0";"720.4";"760.0";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.5";"";"";"";"";"";"";
"22.10.2016 08:30";"19.0";"720.4";"760.1";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.0";"";"";"";"";"";"";
"21.10.2016 17:30";"29.6";"716.9";"755.0";"";"55";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"21.10.2016 08:30";"19.6";"718.9";"758.5";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.6";"";"";"";"";"";"";
"20.10.2016 17:30";"29.8";"717.1";"755.2";"";"58";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"20.10.2016 08:30";"18.4";"718.2";"757.9";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.0";"";"";"";"";"";"";
"19.10.2016 17:30";"30.4";"716.9";"754.9";"";"36";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"19.10.2016 08:30";"19.0";"718.5";"758.1";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.3";"";"";"";"";"";"";
"18.10.2016 08:30";"18.6";"720.2";"760.0";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.9";"";"";"";"";"";"";
"17.10.2016 08:30";"20.3";"720.5";"760.0";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.1";"";"";"";"";"";"";
"16.10.2016 17:30";"30.4";"719.2";"757.3";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.2";"";"";"";"";"";"";
"16.10.2016 08:30";"20.2";"721.0";"760.6";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"16.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.3";"";"";"";"";"";"";
"15.10.2016 17:30";"31.8";"718.8";"756.7";"";"39";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"15.10.2016 08:30";"20.4";"721.0";"760.6";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.4";"";"";"";"";"";"";
"14.10.2016 17:30";"30.6";"718.7";"756.8";"";"40";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.4";"";"";"";"";"";"";
"14.10.2016 08:30";"21.0";"720.1";"759.5";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.5";"";"";"";"";"";"";
"13.10.2016 17:30";"30.0";"717.8";"755.9";"";"46";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.0";"";"";"";"";"";"";
"13.10.2016 08:30";"23.6";"720.1";"759.2";"";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.9";"";"";"";"";"";"";
"12.10.2016 08:30";"24.2";"717.8";"756.7";"";"77";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"24.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.9";"";"";"";"";"";"";
"11.10.2016 17:30";"29.8";"716.8";"754.9";"";"54";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
