# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.01.2017 17:30";"26.6";"705.3";"759.1";"";"41";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.4";"";"";"";"";"";"";
"18.01.2017 08:30";"15.4";"707.3";"763.3";"";"84";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"10.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.6";"";"";"";"";"";"";
"17.01.2017 17:30";"26.8";"703.8";"757.4";"";"37";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.9";"";"";"";"";"";"";
"17.01.2017 08:30";"14.0";"706.1";"762.2";"";"83";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.1";"";"";"";"";"";"";
"16.01.2017 17:30";"25.8";"704.5";"758.4";"";"43";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.1";"";"";"";"";"";"";
"16.01.2017 08:30";"13.8";"706.3";"762.7";"";"73";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.9";"";"";"";"";"";"";
"15.01.2017 17:30";"24.6";"705.2";"759.3";"";"42";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.9";"";"";"";"";"";"";
"15.01.2017 08:30";"13.2";"706.7";"763.2";"";"74";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.7";"";"";"";"";"";"";
"14.01.2017 17:30";"22.4";"703.6";"757.6";"";"36";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"14.01.2017 08:30";"7.6";"705.7";"763.3";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"3.5";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"13.01.2017 17:30";"19.8";"703.6";"758.5";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"21.7";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"13.01.2017 08:30";"6.8";"705.5";"763.3";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"2.5";"";"";"";"";"";"";"4.0";"3.2";"";"";"";"";"";"";
"12.01.2017 17:30";"19.2";"702.8";"757.0";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"10.0";"2.9";"";"";"";"";"";"";
"12.01.2017 08:30";"7.1";"705.4";"762.9";"";"87";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"2.8";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"11.01.2017 17:30";"18.6";"703.4";"758.5";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"20.5";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"11.01.2017 08:30";"8.6";"705.5";"762.8";"";"95";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"4.5";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"10.01.2017 17:30";"20.8";"703.3";"757.9";"";"51";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"22.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.2";"";"";"";"";"";"";
"10.01.2017 08:30";"14.6";"704.5";"760.4";"";"90";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Rain.";"10.5";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"09.01.2017 17:30";"24.4";"701.2";"754.9";"";"56";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.1";"";"";"";"";"";"";
"09.01.2017 08:30";"14.8";"703.2";"759.7";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"8.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.7";"";"";"";"";"";"";
"08.01.2017 17:30";"24.8";"701.1";"754.9";"";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"08.01.2017 11:30";"12.4";"";"759.7";"";"80";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"7.5";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"08.01.2017 08:30";"12.4";"";"759.7";"";"80";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"7.5";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"07.01.2017 17:30";"24.4";"700.8";"754.6";"";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"07.01.2017 08:30";"12.8";"703.4";"759.4";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"6.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"06.01.2017 17:30";"25.4";"702.2";"755.9";"";"32";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"06.01.2017 08:30";"13.4";"705.0";"761.2";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"7.7";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"05.01.2017 17:30";"24.6";"703.3";"757.2";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"05.01.2017 08:30";"12.4";"706.0";"762.5";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"6.4";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"04.01.2017 17:30";"24.4";"704.3";"758.3";"";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"04.01.2017 08:30";"10.2";"706.4";"763.3";"";"83";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.6";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"03.01.2017 17:30";"24.0";"704.6";"758.6";"";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"03.01.2017 08:30";"12.2";"707.5";"764.2";"";"93";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Rain.";"7.5";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"02.01.2017 17:30";"24.2";"704.5";"758.5";"";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"02.01.2017 08:30";"13.8";"706.0";"762.2";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"9.5";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"01.01.2017 17:30";"26.8";"703.0";"756.5";"";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"01.01.2017 08:30";"14.8";"705.6";"761.7";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"9.6";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"31.12.2016 17:30";"26.8";"703.0";"756.6";"";"27";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"31.12.2016 08:30";"13.4";"706.0";"762.4";"";"74";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"8.5";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"30.12.2016 17:30";"26.2";"704.6";"758.2";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"30.12.2016 08:30";"11.4";"706.6";"763.4";"";"84";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"7.0";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"29.12.2016 17:30";"26.2";"703.9";"757.6";"";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"29.12.2016 08:30";"11.8";"706.9";"763.8";"";"82";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"7.3";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"28.12.2016 17:30";"24.8";"704.1";"758.1";"";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"28.12.2016 08:30";"11.6";"707.1";"763.3";"";"81";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"6.5";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"27.12.2016 17:30";"23.4";"704.2";"758.5";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"27.12.2016 08:30";"9.6";"706.7";"763.9";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"4.4";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"26.12.2016 17:30";"21.6";"704.5";"758.1";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"26.12.2016 08:30";"10.4";"710.8";"763.3";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.5";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"25.12.2016 17:30";"25.8";"703.5";"757.2";"";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"25.12.2016 08:30";"13.4";"704.0";"760.1";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"8.0";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"24.12.2016 17:30";"26.6";"701.4";"754.8";"";"29";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"24.12.2016 08:30";"11.2";"704.2";"760.8";"";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.8";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"23.12.2016 17:30";"25.4";"703.1";"756.8";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"23.12.2016 08:30";"10.6";"705.6";"762.5";"";"84";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"7.9";"";"";"";"";"";"";
"22.12.2016 17:30";"24.4";"704.8";"758.8";"";"32";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"6.8";"";"";"";"";"";"";
"22.12.2016 08:30";"10.8";"706.9";"763.9";"";"84";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.7";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"21.12.2016 17:30";"24.8";"705.3";"759.3";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"21.12.2016 08:30";"11.4";"707.6";"764.5";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.9";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"20.12.2016 17:30";"24.6";"704.7";"758.7";"";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"20.12.2016 08:30";"10.8";"706.9";"763.9";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"5.7";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"19.12.2016 17:30";"22.8";"705.1";"759.6";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"19.12.2016 08:30";"11.0";"707.2";"764.1";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Storm";"6.0";"";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"18.12.2016 17:30";"14.6";"704.5";"758.5";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"18.12.2016 08:30";"11.8";"710.5";"762.4";"";"75";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"5.8";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"17.12.2016 17:30";"24.8";"704.9";"758.9";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"16.12.2016 17:30";"25.4";"705.4";"759.4";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"16.12.2016 08:30";"14.6";"707.6";"763.8";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"15.12.2016 17:30";"26.2";"704.4";"758.0";"";"36";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"15.12.2016 08:30";"15.2";"707.0";"763.0";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"14.12.2016 17:30";"25.8";"704.2";"758.1";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"14.12.2016 08:30";"15.2";"706.2";"762.1";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"13.12.2016 17:30";"26.4";"702.8";"756.4";"";"32";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.4";"";"";"";"";"";"";
"13.12.2016 08:30";"15.2";"705.1";"760.9";"";"74";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"12.12.2016 17:30";"26.6";"702.7";"756.3";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"12.12.2016 08:30";"14.0";"705.2";"761.2";"";"83";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"11.12.2016 17:30";"24.8";"702.4";"756.4";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"11.12.2016 08:30";"12.6";"704.9";"761.3";"";"78";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"7.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.8";"";"";"";"";"";"";
"10.12.2016 17:30";"24.4";"702.7";"756.7";"";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"10.12.2016 08:30";"11.4";"704.8";"761.4";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"09.12.2016 17:30";"24.0";"702.6";"756.5";"";"40";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"09.12.2016 08:30";"10.8";"705.1";"762.0";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"08.12.2016 17:30";"24.4";"704.2";"758.2";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"08.12.2016 08:30";"11.6";"706.3";"763.3";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"07.12.2016 17:30";"24.8";"704.6";"758.6";"";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"07.12.2016 08:30";"12.6";"707.1";"763.7";"";"80";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"06.12.2016 17:30";"25.4";"704.1";"757.9";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"06.12.2016 08:30";"13.4";"707.3";"763.7";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"05.12.2016 17:30";"24.4";"705.0";"759.0";"";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"05.12.2016 08:30";"13.2";"707.7";"764.1";"";"85";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"7.7";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"04.12.2016 17:30";"25.2";"706.3";"760.3";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"04.12.2016 08:30";"16.0";"708.8";"764.8";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"03.12.2016 17:30";"25.4";"704.7";"758.5";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"03.12.2016 08:30";"15.6";"707.8";"763.8";"";"76";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"02.12.2016 08:30";"15.4";"707.0";"763.0";"";"84";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"10.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.6";"";"";"";"";"";"";
"01.12.2016 17:30";"25.2";"704.2";"758.1";"";"51";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.2";"";"";"";"";"";"";
