# Weather station Sheopur, India, WMO_ID=42456,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42456&lang=en
#
"Local time in Sheopur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.10.2016 17:30";"27.8";"735.6";"755.5";"";"81";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.2";"";"";"";"";"";"";
"06.10.2016 08:30";"26.0";"736.5";"756.5";"";"97";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.4";"";"";"";"";"";"";
"05.10.2016 17:30";"26.6";"733.3";"753.2";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"22.8";"";"";"";"";"";"";
"05.10.2016 08:30";"29.0";"735.4";"755.2";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"04.10.2016 17:30";"31.0";"732.9";"752.5";"";"67";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.1";"";"";"";"";"";"";
"04.10.2016 08:30";"30.0";"736.0";"755.8";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"03.10.2016 17:30";"35.0";"736.7";"756.1";"";"52";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"36.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.6";"";"";"";"";"";"";
"03.10.2016 08:30";"30.0";"737.6";"757.4";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"02.10.2016 17:30";"34.4";"735.4";"754.8";"";"54";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"02.10.2016 08:30";"29.4";"738.4";"758.3";"";"82";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"01.10.2016 17:30";"31.8";"734.5";"754.1";"";"64";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"24.1";"";"";"";"";"";"";
"01.10.2016 08:30";"29.6";"736.3";"756.1";"";"74";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"30.09.2016 17:30";"29.4";"734.0";"753.7";"";"76";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"36.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.7";"";"";"";"";"";"";
"30.09.2016 08:30";"29.4";"736.2";"756.0";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"29.09.2016 17:30";"33.8";"733.8";"753.2";"";"57";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"29.09.2016 08:30";"30.0";"735.5";"755.2";"";"65";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"28.09.2016 17:30";"34.6";"732.8";"752.2";"";"48";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"37.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
"28.09.2016 08:30";"29.2";"736.3";"756.1";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"27.09.2016 17:30";"34.2";"733.6";"753.0";"";"55";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"27.09.2016 08:30";"29.0";"737.6";"757.5";"";"67";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.2";"";"";"";"";"";"";
"26.09.2016 17:30";"34.4";"734.3";"753.7";"";"54";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"26.09.2016 08:30";"29.6";"736.9";"756.7";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"25.09.2016 17:30";"33.8";"733.1";"752.5";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"25.09.2016 08:30";"28.4";"734.9";"754.7";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"24.09.2016 17:30";"32.6";"732.3";"751.8";"";"57";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.1";"";"";"";"";"";"";
"24.09.2016 08:30";"29.6";"735.4";"755.2";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"23.09.2016 17:30";"33.6";"732.4";"751.8";"";"58";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.2";"";"";"";"";"";"";
"23.09.2016 08:30";"28.6";"736.3";"756.1";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"22.09.2016 17:30";"31.2";"735.3";"755.0";"";"71";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.3";"";"";"";"";"";"";
"22.09.2016 08:30";"28.4";"737.7";"757.6";"";"75";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.5";"";"";"";"";"";"";
"21.09.2016 17:30";"35.0";"733.5";"752.9";"";"59";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.8";"";"";"";"";"";"";
"21.09.2016 08:30";"28.6";"736.3";"756.1";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"20.09.2016 17:30";"36.0";"732.0";"751.3";"";"55";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.7";"";"";"";"";"";"";
"20.09.2016 08:30";"29.0";"735.3";"755.1";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"19.09.2016 17:30";"34.4";"732.8";"752.2";"";"54";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"19.09.2016 08:30";"29.2";"735.4";"755.2";"";"76";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"18.09.2016 17:30";"35.4";"733.1";"752.4";"";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"18.09.2016 08:30";"29.4";"735.5";"755.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"17.09.2016 17:30";"34.6";"732.3";"751.7";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"17.09.2016 08:30";"28.4";"734.8";"754.6";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"16.09.2016 17:30";"31.6";"733.1";"752.7";"";"71";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.7";"";"";"";"";"";"";
"16.09.2016 08:30";"29.4";"736.2";"756.0";"";"75";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.5";"";"";"";"";"";"";
"15.09.2016 17:30";"31.4";"733.8";"753.4";"";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"25.0";"";"";"";"";"";"";
"15.09.2016 08:30";"28.4";"732.5";"752.3";"";"79";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.4";"";"";"";"";"";"";
"14.09.2016 17:30";"31.4";"734.6";"754.2";"";"66";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"24.3";"";"";"";"";"";"";
"14.09.2016 08:30";"28.8";"731.0";"750.7";"";"79";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.8";"";"";"";"";"";"";
"13.09.2016 17:30";"33.4";"735.4";"754.9";"";"59";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"34.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"13.09.2016 08:30";"27.4";"737.9";"757.9";"";"78";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"24.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"12.09.2016 17:30";"32.6";"734.6";"754.1";"";"52";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.4";"";"";"";"";"";"";
"12.09.2016 08:30";"27.0";"736.3";"756.3";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"11.09.2016 17:30";"32.4";"734.6";"754.2";"";"55";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"11.09.2016 08:30";"27.4";"739.4";"759.4";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.6";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"10.09.2016 17:30";"32.4";"734.5";"754.1";"";"55";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"10.09.2016 08:30";"28.0";"737.9";"757.8";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"09.09.2016 17:30";"32.4";"735.3";"754.9";"";"57";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.8";"";"";"";"";"";"";
"09.09.2016 08:30";"27.0";"737.9";"757.9";"";"80";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.2";"";"";"";"";"";"";
"08.09.2016 17:30";"32.8";"735.4";"754.9";"";"58";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"08.09.2016 08:30";"27.6";"736.5";"756.4";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"07.09.2016 17:30";"31.8";"733.9";"753.5";"";"60";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"32.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"07.09.2016 08:30";"26.6";"736.5";"756.5";"";"81";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"06.09.2016 17:30";"31.0";"734.3";"753.9";"";"59";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.2";"";"";"";"";"";"";
"06.09.2016 08:30";"26.0";"737.2";"757.2";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"23.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.6";"";"";"";"";"";"";
"05.09.2016 17:30";"30.4";"734.8";"754.5";"";"63";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.7";"";"";"";"";"";"";
"05.09.2016 08:30";"26.4";"736.4";"756.4";"";"85";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.7";"";"";"";"";"";"";
"04.09.2016 17:30";"31.0";"734.7";"754.3";"";"59";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.0";"";"";"";"";"";"";
"04.09.2016 08:30";"27.4";"735.8";"755.7";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"03.09.2016 17:30";"31.8";"731.7";"751.2";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"03.09.2016 08:30";"26.8";"734.4";"754.3";"";"89";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.8";"";"";"";"";"";"";
"02.09.2016 17:30";"32.0";"731.5";"751.0";"";"69";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.5";"";"";"";"";"";"";
"02.09.2016 08:30";"25.4";"733.5";"753.5";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"01.09.2016 17:30";"31.4";"731.8";"751.3";"";"70";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.2";"";"";"";"";"";"";
"01.09.2016 08:30";"26.0";"734.8";"754.8";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.6";"";"";"";"";"";"";
"31.08.2016 17:30";"32.4";"730.9";"750.4";"";"73";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"26.9";"";"";"";"";"";"";
"31.08.2016 08:30";"28.0";"733.3";"753.1";"";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.7";"";"";"";"";"";"";
"30.08.2016 17:30";"32.8";"730.1";"749.5";"";"70";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"30.08.2016 08:30";"28.4";"730.5";"750.2";"";"88";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.2";"";"";"";"";"";"";
"29.08.2016 17:30";"32.6";"732.5";"752.0";"";"73";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"27.1";"";"";"";"";"";"";
"29.08.2016 08:30";"27.6";"735.9";"755.8";"";"83";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.4";"";"";"";"";"";"";
"28.08.2016 17:30";"26.4";"734.1";"754.0";"";"97";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"25.8";"";"";"";"";"";"";
