# Weather station Madurai (airport), India, WMO_ID=43360,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43360&lang=en
#
"Local time in Madurai (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.10.2016 05:30";"24.8";"745.8";"757.0";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"2.0";"22.7";"";"";"";"";"";"";
"21.10.2016 17:30";"29.0";"744.6";"755.6";"";"67";"Wind blowing from the south-east";"5";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"2.0";"22.2";"";"";"";"";"";"";
"21.10.2016 11:30";"33.0";"745.3";"756.2";"-0.3";"51";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.5";"";"";"";"";"";"";
"21.10.2016 08:30";"27.8";"745.6";"756.7";"1.8";"72";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.0";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"2.0";"22.2";"";"";"";"";"";"";
"21.10.2016 05:30";"25.6";"743.8";"754.9";"";"82";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"2.0";"22.3";"";"";"";"";"";"";
"20.10.2016 17:30";"29.0";"743.5";"754.4";"";"67";"Wind blowing from the south-southwest";"10";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.2";"";"";"";"";"";"";
"20.10.2016 11:30";"32.6";"744.7";"755.5";"-0.6";"55";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"22.4";"";"";"";"";"";"";
"20.10.2016 08:30";"29.0";"745.3";"756.3";"1.8";"67";"Wind blowing from the north";"8";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"22.2";"";"";"";"";"";"";
"20.10.2016 05:30";"26.4";"743.5";"754.5";"";"83";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.2";"";"";"";"";"";"";
"19.10.2016 17:30";"33.8";"742.6";"753.4";"";"46";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"36.6";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"20.7";"";"";"";"";"";"";
"19.10.2016 11:30";"34.4";"745.0";"755.8";"-0.9";"46";"Wind blowing from the north";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.1";"";"";"";"";"";"";
"19.10.2016 08:30";"29.8";"745.9";"756.9";"1.2";"63";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.8";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.1";"";"";"";"";"";"";
"19.10.2016 05:30";"26.4";"744.7";"755.8";"";"78";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.2";"";"";"";"";"";"";
"18.10.2016 17:30";"34.4";"742.6";"753.4";"";"43";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"36.4";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"20.0";"";"";"";"";"";"";
"18.10.2016 11:30";"34.2";"745.6";"756.4";"-0.9";"46";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"20.9";"";"";"";"";"";"";
"18.10.2016 08:30";"29.0";"746.5";"757.5";"1.7";"64";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.6";"";"";"";"";"";"";
"18.10.2016 05:30";"25.6";"744.8";"755.9";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.0";"";"";"";"";"";"";
"17.10.2016 17:30";"33.8";"744.1";"754.9";"";"47";"Wind blowing from the south";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"36.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.1";"";"";"";"";"";"";
"17.10.2016 11:30";"33.4";"746.4";"757.2";"-0.6";"50";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.6";"";"";"";"";"";"";
"17.10.2016 08:30";"28.0";"747.0";"758.0";"1.4";"73";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.7";"";"";"";"";"";"";
"17.10.2016 05:30";"25.8";"745.6";"756.7";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.9";"";"";"";"";"";"";
"16.10.2016 17:30";"32.2";"744.4";"755.2";"";"48";"Wind blowing from the east-southeast";"5";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"19.8";"";"";"";"";"";"";
"16.10.2016 11:30";"34.8";"746.8";"757.6";"-1.1";"40";"Wind blowing from the east";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"19.4";"";"";"";"";"";"";
"16.10.2016 08:30";"29.0";"747.9";"758.9";"1.8";"58";"Wind blowing from the north-northeast";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"19.9";"";"";"";"";"";"";
"16.10.2016 05:30";"25.0";"746.1";"757.3";"";"79";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.1";"";"";"";"";"";"";
"15.10.2016 17:30";"30.0";"745.3";"756.2";"";"61";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"34.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"15.10.2016 11:30";"33.0";"746.5";"757.3";"-0.6";"47";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"20.4";"";"";"";"";"";"";
"15.10.2016 08:30";"29.4";"747.1";"758.0";"1.5";"61";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.0";"";"";"";"";"";"";
"15.10.2016 05:30";"26.4";"745.6";"756.7";"";"74";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.3";"";"";"";"";"";"";
"14.10.2016 17:30";"34.0";"744.2";"755.0";"";"45";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"37.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"20.3";"";"";"";"";"";"";
"14.10.2016 11:30";"34.0";"746.2";"757.0";"-0.4";"45";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"20.6";"";"";"";"";"";"";
"14.10.2016 08:30";"28.4";"746.6";"757.6";"1.5";"65";"Wind blowing from the west-northwest";"4";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.2";"";"";"";"";"";"";
"14.10.2016 05:30";"25.4";"745.1";"756.2";"";"79";"Wind blowing from the north-west";"5";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"13.10.2016 17:30";"30.2";"744.1";"755.0";"";"61";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"37.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"13.10.2016 11:30";"33.4";"745.7";"756.5";"-1.0";"49";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.3";"";"";"";"";"";"";
"13.10.2016 08:30";"29.0";"746.7";"757.7";"1.6";"67";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"25.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"22.2";"";"";"";"";"";"";
"13.10.2016 05:30";"27.4";"745.1";"756.1";"";"73";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.1";"";"";"";"";"";"";
"12.10.2016 17:30";"34.0";"742.9";"753.7";"";"48";"Wind blowing from the south-southeast";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"37.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.5";"";"";"";"";"";"";
"12.10.2016 11:30";"35.8";"745.1";"755.9";"-1.5";"41";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"12.10.2016 08:30";"30.6";"746.6";"757.6";"1.3";"53";"Wind blowing from the north";"4";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.0";"";"";"";"";"";"";
"12.10.2016 05:30";"26.0";"745.3";"756.4";"";"69";"Wind blowing from the north-northwest";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"11.10.2016 17:30";"36.5";"742.9";"753.6";"";"33";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"38.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.6";"";"";"";"";"";"";
"11.10.2016 11:30";"35.4";"745.7";"756.5";"-1.1";"36";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"11.10.2016 08:30";"30.4";"746.8";"757.8";"1.9";"52";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"11.10.2016 05:30";"26.0";"744.9";"756.0";"";"72";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"10.10.2016 17:30";"37.0";"742.7";"753.4";"";"36";"Wind blowing from the west";"2";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"39.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"10.10.2016 11:30";"36.6";"745.6";"756.3";"-0.6";"35";"Wind blowing from the west-northwest";"4";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.7";"";"";"";"";"";"";
"10.10.2016 08:30";"30.6";"746.2";"757.1";"1.2";"50";"Wind blowing from the west-northwest";"4";"";"";"10%  or less, but not 0";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.9";"";"";"";"";"";"";
"10.10.2016 05:30";"25.8";"745.0";"756.1";"";"69";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.6";"";"";"";"";"";"";
"09.10.2016 17:30";"35.8";"743.4";"754.0";"";"39";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"38.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"19.6";"";"";"";"";"";"";
"09.10.2016 11:30";"36.4";"746.4";"757.1";"-0.8";"34";"Wind blowing from the south-southwest";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.1";"";"";"";"";"";"";
