# Weather station Kanyakumari, India, WMO_ID=43377,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43377&lang=en
#
"Local time in Kanyakumari";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.11.2016 14:30";"27.8";"753.0";"756.1";"-1.4";"76";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"23.1";"";"";"";"";"";"";
"20.11.2016 11:30";"26.4";"754.4";"757.5";"-1.5";"76";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.9";"";"";"";"";"";"";
"20.11.2016 08:30";"25.6";"755.9";"759.0";"1.9";"81";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.1";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.0";"";"";"";"";"";"";
"20.11.2016 05:30";"24.0";"754.0";"757.2";"-0.2";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"20.11.2016 02:30";"25.0";"754.2";"757.3";"-0.4";"91";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.5";"";"";"";"";"";"";
"19.11.2016 23:30";"26.0";"754.6";"757.7";"0.0";"84";"Wind blowing from the north-east";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"23.1";"";"";"";"";"";"";
"19.11.2016 20:30";"26.8";"754.6";"757.7";"1.8";"71";"Wind blowing from the north-east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.1";"";"";"";"";"";"";
"19.11.2016 17:30";"28.0";"752.8";"755.9";"0.2";"67";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.4";"";"";"";"";"";"";
"19.11.2016 14:30";"29.0";"752.6";"755.7";"-1.7";"67";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.2";"";"";"";"";"";"";
"19.11.2016 11:30";"28.6";"754.3";"757.4";"-0.4";"65";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"21.4";"";"";"";"";"";"";
"19.11.2016 08:30";"27.4";"754.7";"757.8";"1.8";"81";"Wind blowing from the north-northeast";"4";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"23.9";"";"";"";"";"";"";
"19.11.2016 05:30";"26.6";"752.9";"756.0";"-0.8";"81";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.1";"";"";"";"";"";"";
"19.11.2016 02:30";"26.6";"753.7";"756.7";"-0.9";"80";"Wind blowing from the north-east";"4";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"22.8";"";"";"";"";"";"";
"18.11.2016 23:30";"27.6";"754.6";"757.7";"0.1";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"18.11.2016 20:30";"28.2";"754.5";"757.6";"1.9";"80";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"24.5";"";"";"";"";"";"";
"18.11.2016 17:30";"29.4";"752.6";"755.7";"-0.2";"75";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"";"31.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"24.5";"";"";"";"";"";"";
"18.11.2016 14:30";"29.4";"752.8";"755.8";"-1.8";"68";"Wind blowing from the north-east";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"23.0";"";"";"";"";"";"";
"18.11.2016 11:30";"30.2";"754.6";"757.6";"-0.8";"70";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.2";"";"";"";"";"";"";
"18.11.2016 08:30";"27.0";"755.4";"758.5";"2.0";"78";"Wind blowing from the north-east";"5";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.8";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.9";"";"";"";"";"";"";
"18.11.2016 05:30";"26.0";"753.4";"756.5";"0.0";"81";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"18.11.2016 02:30";"26.0";"753.4";"756.4";"-0.9";"84";"Wind blowing from the north-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"17.11.2016 23:30";"26.0";"754.3";"757.4";"-0.7";"87";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"17.11.2016 20:30";"25.4";"755.0";"758.1";"1.4";"95";"Wind blowing from the east-northeast";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"24.5";"";"";"";"";"";"";
"17.11.2016 17:30";"28.0";"753.6";"756.7";"-2.4";"80";"Wind blowing from the east-northeast";"2";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"32.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"17.11.2016 14:30";"27.6";"756.0";"757.0";"1.0";"89";"Wind blowing from the north-northwest";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.6";"";"";"";"";"";"";
"17.11.2016 11:30";"30.0";"755.0";"758.1";"-0.6";"72";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"24.3";"";"";"";"";"";"";
"17.11.2016 08:30";"27.2";"755.6";"758.7";"1.6";"83";"Wind blowing from the north-east";"4";"";"";"100%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"24.0";"";"";"";"";"";"";
"17.11.2016 05:30";"27.0";"754.0";"757.1";"0.3";"84";"Wind blowing from the north-east";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.1";"";"";"";"";"";"";
"17.11.2016 02:30";"27.0";"753.7";"756.8";"-1.5";"83";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.8";"";"";"";"";"";"";
"16.11.2016 23:30";"27.4";"755.2";"758.3";"0.1";"81";"Wind blowing from the north-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"";"";"";"";"";"";
"16.11.2016 20:30";"27.4";"755.1";"758.2";"1.7";"81";"Wind blowing from the north-northeast";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"";"";"";"";"";"";
"16.11.2016 17:30";"28.4";"753.4";"756.4";"0.1";"82";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.0";"";"";"";"";"";"";
"16.11.2016 14:30";"28.2";"753.3";"756.4";"-1.4";"83";"Wind blowing from the north-east";"4";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"25.1";"";"";"";"";"";"";
"16.11.2016 11:30";"31.0";"754.7";"757.8";"-1.1";"66";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.8";"";"";"";"";"";"";
"16.11.2016 08:30";"28.4";"755.8";"758.9";"1.1";"72";"Wind blowing from the north-northeast";"4";"";"";"60%.";" ";"";"";"24.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"16.11.2016 05:30";"26.0";"754.7";"757.8";"0.1";"89";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.0";"";"";"";"";"";"";
"16.11.2016 02:30";"26.2";"754.6";"757.6";"-1.2";"92";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"15.11.2016 23:30";"26.6";"755.8";"758.9";"0.6";"89";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.6";"";"";"";"";"";"";
"15.11.2016 20:30";"27.6";"755.2";"758.2";"1.6";"84";"Wind blowing from the north-east";"1";"";"";"40%.";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.7";"";"";"";"";"";"";
"15.11.2016 17:30";"28.8";"753.6";"756.7";"0.0";"82";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"32.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.4";"";"";"";"";"";"";
"15.11.2016 14:30";"29.8";"753.6";"756.7";"-2.6";"78";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.6";"";"";"";"";"";"";
"15.11.2016 11:30";"30.2";"756.2";"759.3";"-0.4";"76";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.4";"";"";"";"";"";"";
"15.11.2016 08:30";"25.4";"756.6";"759.7";"1.1";"95";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"23.1";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"24.5";"";"";"";"";"";"";
"15.11.2016 05:30";"25.6";"755.5";"758.5";"0.8";"90";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"";"";"";"";"";"";
"15.11.2016 02:30";"25.8";"754.7";"757.8";"-1.6";"90";"Wind blowing from the north-northeast";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"14.11.2016 23:30";"26.6";"756.3";"759.4";"0.2";"90";"Wind blowing from the east-northeast";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"14.11.2016 20:30";"27.4";"756.1";"759.1";"1.5";"86";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.8";"";"";"";"";"";"";
"14.11.2016 17:30";"28.6";"754.6";"757.7";"-0.1";"79";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"29.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"24.6";"";"";"";"";"";"";
"14.11.2016 14:30";"29.2";"754.7";"757.8";"-1.7";"76";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"24.6";"";"";"";"";"";"";
"14.11.2016 11:30";"27.8";"756.4";"759.5";"-0.9";"84";"Wind blowing from the east-northeast";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"24.9";"";"";"";"";"";"";
