# Weather station Cherrapunji, India, WMO_ID=42515,selection from 26.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42515&lang=en
#
"Local time in Cherrapunji";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.02.2017 11:30";"21.0";"";"";"";"47";"Wind blowing from the south-west";"1";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.2";"";"";"";"";"";"";
"08.02.2017 08:30";"15.0";"";"";"";"72";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Storm";"9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.9";"";"";"";"";"";"";
"07.02.2017 17:30";"15.2";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"19.7";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"07.02.2017 11:30";"19.2";"";"";"";"66";"Wind blowing from the south-west";"2";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.7";"";"";"";"";"";"";
"07.02.2017 08:30";"15.0";"";"";"";"72";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"10.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.9";"";"";"";"";"";"";
"06.02.2017 17:30";"15.6";"";"";"";"70";"Wind blowing from the south-west";"2";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"21.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.2";"";"";"";"";"";"";
"06.02.2017 11:30";"20.2";"";"";"";"44";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.6";"";"";"";"";"";"";
"06.02.2017 08:30";"16.6";"";"";"";"55";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"05.02.2017 17:30";"15.2";"";"";"";"64";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"05.02.2017 11:30";"21.8";"";"";"";"19";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.1";"";"";"";"";"";"";
"05.02.2017 08:30";"17.0";"";"";"";"36";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"8.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.7";"";"";"";"";"";"";
"04.02.2017 17:30";"18.0";"";"";"";"62";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.5";"";"";"";"";"";"";
"04.02.2017 11:30";"24.8";"";"";"";"26";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.0";"";"";"";"";"";"";
"04.02.2017 08:30";"19.2";"";"";"";"24";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"-2.2";"";"";"";"";"";"";
"03.02.2017 17:30";"17.0";"";"";"";"68";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"22.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"03.02.2017 11:30";"20.0";"";"";"";"42";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"03.02.2017 08:30";"15.0";"";"";"";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"02.02.2017 17:30";"13.8";"";"";"";"89";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.0";"";"";"";"";"";"";
"02.02.2017 11:30";"18.8";"";"";"";"48";"Wind blowing from the south-west";"1";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.6";"";"";"";"";"";"";
"02.02.2017 08:30";"13.2";"";"";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"01.02.2017 17:30";"13.4";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"19.8";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"01.02.2017 11:30";"16.6";"";"";"";"67";"Wind blowing from the south-west";"1";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Storm";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.5";"";"";"";"";"";"";
"01.02.2017 08:30";"12.2";"";"";"";"84";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"6.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.6";"";"";"";"";"";"";
"31.01.2017 17:30";"14.2";"";"";"";"85";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"19.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.7";"";"";"";"";"";"";
"31.01.2017 11:30";"18.8";"";"";"";"61";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Storm";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.1";"";"";"";"";"";"";
"31.01.2017 08:30";"13.0";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.8";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.01.2017 17:30";"13.6";"";"";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"18.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.8";"";"";"";"";"";"";
"30.01.2017 11:30";"18.0";"";"";"";"50";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.5";"";"";"";"";"";"";
"30.01.2017 08:30";"13.6";"";"";"";"79";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.9";"";"";"";"";"";"";
"29.01.2017 17:30";"15.2";"";"";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.2";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"29.01.2017 11:30";"19.6";"";"";"";"54";"Wind blowing from the south";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.0";"";"";"";"";"";"";
"29.01.2017 08:30";"12.6";"";"";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.8";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"28.01.2017 17:30";"13.6";"";"";"";"76";"Wind blowing from the north-east";"2";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.5";"";"";"";"";"";"";
"28.01.2017 08:30";"14.4";"";"";"";"67";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"8.4";"";"";"";"";"";"";
"27.01.2017 17:30";"15.2";"";"";"";"74";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.5";"";"";"";"";"";"";
"27.01.2017 11:30";"20.4";"";"";"";"50";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"27.01.2017 08:30";"15.4";"";"";"";"78";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"10.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.5";"";"";"";"";"";"";
"26.01.2017 17:30";"16.6";"";"";"";"71";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"24.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.3";"";"";"";"";"";"";
"26.01.2017 11:30";"22.8";"";"";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.2";"";"";"";"";"";"";
"26.01.2017 08:30";"17.0";"";"";"";"37";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"9.1";"";"";"";"";"";"";"4.0";"2.3";"";"";"";"";"";"";
"25.01.2017 17:30";"16.6";"";"";"";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.9";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"25.01.2017 11:30";"22.6";"";"";"";"38";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"25.01.2017 08:30";"17.0";"";"";"";"45";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"24.01.2017 17:30";"14.2";"";"";"";"85";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"19.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.7";"";"";"";"";"";"";
"24.01.2017 11:30";"20.2";"";"";"";"34";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"24.01.2017 08:30";"13.6";"";"";"";"65";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"23.01.2017 17:30";"14.6";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"21.7";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"23.01.2017 11:30";"19.0";"";"";"";"42";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"23.01.2017 08:30";"14.4";"";"";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"22.01.2017 17:30";"15.0";"";"";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.9";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"22.01.2017 11:30";"20.0";"";"";"";"42";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"22.01.2017 08:30";"16.2";"";"";"";"43";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"3.4";"";"";"";"";"";"";
"21.01.2017 17:30";"14.0";"";"";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.0";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"21.01.2017 11:30";"19.6";"";"";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.7";"";"";"";"";"";"";
"21.01.2017 08:30";"15.0";"";"";"";"49";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"6.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.4";"";"";"";"";"";"";
"20.01.2017 17:30";"13.6";"";"";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"21.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"20.01.2017 11:30";"19.2";"";"";"";"50";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.6";"";"";"";"";"";"";
"20.01.2017 08:30";"14.2";"";"";"";"61";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"7.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.8";"";"";"";"";"";"";
"19.01.2017 17:30";"15.2";"";"";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.7";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"19.01.2017 11:30";"19.4";"";"";"";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"19.01.2017 08:30";"14.4";"";"";"";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"18.01.2017 17:30";"14.0";"";"";"";"79";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.0";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"18.01.2017 11:30";"17.6";"";"";"";"48";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"18.01.2017 08:30";"12.0";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"17.01.2017 17:30";"11.2";"";"";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"18.4";"";"";"";"";"";"2.0";"9.3";"";"";"";"";"";"";
"17.01.2017 11:30";"17.0";"";"";"";"52";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Storm";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.1";"";"";"";"";"";"";
"17.01.2017 08:30";"12.0";"";"";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.3";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"16.01.2017 17:30";"12.0";"";"";"";"84";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
"16.01.2017 11:30";"18.0";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.0";"";"";"";"";"";"";
"16.01.2017 08:30";"12.4";"";"";"";"57";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"5.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.0";"";"";"";"";"";"";
"15.01.2017 17:30";"13.2";"";"";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"20.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.2";"";"";"";"";"";"";
"15.01.2017 11:30";"18.2";"";"";"";"30";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.1";"";"";"";"";"";"";
"15.01.2017 08:30";"13.0";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.4";"";"";"";"";"";"";"4.0";"1.0";"";"";"";"";"";"";
"14.01.2017 17:30";"11.4";"";"";"";"81";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"18.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.3";"";"";"";"";"";"";
"14.01.2017 11:30";"17.0";"";"";"";"41";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Storm";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.5";"";"";"";"";"";"";
"14.01.2017 08:30";"11.0";"";"";"";"64";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"5.0";"";"";"";"";"";"";"4.0";"4.3";"";"";"";"";"";"";
"13.01.2017 17:30";"11.2";"";"";"";"77";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"16.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"7.3";"";"";"";"";"";"";
"13.01.2017 11:30";"15.6";"";"";"";"52";"Wind blowing from the south-east";"2";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.7";"";"";"";"";"";"";
"13.01.2017 08:30";"11.8";"";"";"";"71";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"5.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.6";"";"";"";"";"";"";
