# Weather station Karvar, India, WMO_ID=43225,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43225&lang=en
#
"Local time in Karvar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.02.2016 11:30";"31.6";"761.7";"762.1";"0.5";"64";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.9";"";"";"";"";"";"";
"29.02.2016 08:30";"25.4";"761.2";"761.6";"";"84";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.4";"";"";"";"";"";"";
"28.02.2016 17:30";"31.0";"757.7";"760.3";"-2.1";"66";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"23.8";"";"";"";"";"";"";
"28.02.2016 14:30";"33.0";"759.8";"760.2";"-1.9";"64";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.4";"";"";"";"";"";"";
"28.02.2016 11:30";"30.6";"761.7";"762.1";"-0.1";"67";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.7";"";"";"";"";"";"";
"28.02.2016 08:30";"25.4";"761.8";"762.2";"";"85";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.7";"";"";"";"";"";"";
"27.02.2016 17:30";"31.0";"759.1";"759.5";"-0.4";"71";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.1";"";"";"";"";"";"";
"27.02.2016 14:30";"32.4";"759.5";"759.9";"-1.5";"60";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.8";"";"";"";"";"";"";
"27.02.2016 11:30";"31.6";"761.0";"761.4";"0.2";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.5";"";"";"";"";"";"";
"27.02.2016 08:30";"24.4";"760.8";"761.2";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"22.9";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"26.02.2016 17:30";"30.4";"757.6";"758.0";"-0.7";"67";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"26.02.2016 14:30";"33.2";"758.3";"758.7";"-2.0";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"26.02.2016 11:30";"31.8";"760.3";"760.6";"0.0";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"26.02.2016 08:30";"23.4";"760.3";"760.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"25.02.2016 17:30";"31.0";"758.2";"758.6";"-0.4";"71";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.1";"";"";"";"";"";"";
"25.02.2016 14:30";"31.6";"758.6";"759.0";"-1.4";"62";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.5";"";"";"";"";"";"";
"25.02.2016 11:30";"30.4";"760.0";"760.3";"0.3";"67";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.5";"";"";"";"";"";"";
"25.02.2016 08:30";"24.0";"759.7";"760.1";"";"89";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.1";"";"";"";"";"";"";
"24.02.2016 17:30";"31.2";"757.9";"758.3";"-0.5";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"24.02.2016 14:30";"33.4";"758.4";"758.8";"-2.0";"55";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"24.02.2016 11:30";"32.0";"760.4";"760.8";"0.1";"64";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.3";"";"";"";"";"";"";
"24.02.2016 08:30";"26.2";"760.3";"760.6";"";"84";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"";"";"24.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"23.02.2016 17:30";"30.6";"757.9";"758.3";"-0.3";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"23.02.2016 14:30";"31.6";"758.2";"758.5";"-1.8";"61";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"23.02.2016 11:30";"31.2";"760.0";"760.3";"0.4";"71";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"23.02.2016 08:30";"26.4";"759.6";"760.0";"";"86";"Wind blowing from the south-east";"1";"";"";"no clouds";"Haze. ";"";"";"23.5";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"22.02.2016 17:30";"30.6";"757.9";"758.2";"-0.9";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"22.02.2016 14:30";"34.0";"758.8";"759.1";"-2.4";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"22.02.2016 11:30";"31.6";"761.2";"761.5";"0.6";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"22.02.2016 08:30";"25.4";"760.6";"760.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"24.2";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"21.02.2016 17:30";"32.0";"758.2";"758.5";"-0.9";"67";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.2";"";"";"";"";"";"";
"21.02.2016 14:30";"32.6";"759.1";"759.5";"-2.0";"67";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.6";"";"";"";"";"";"";
"21.02.2016 11:30";"32.2";"761.1";"761.5";"0.0";"65";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.8";"";"";"";"";"";"";
"21.02.2016 08:30";"25.6";"761.1";"761.5";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"";"";"23.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.3";"";"";"";"";"";"";
"20.02.2016 17:30";"31.8";"758.6";"759.0";"-0.5";"67";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.0";"";"";"";"";"";"";
"20.02.2016 14:30";"34.6";"759.1";"759.4";"-2.1";"52";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.4";"";"";"";"";"";"";
"20.02.2016 11:30";"32.6";"761.2";"761.5";"0.0";"57";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.1";"";"";"";"";"";"";
"20.02.2016 08:30";"24.4";"761.2";"761.6";"";"85";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"";"";"22.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.7";"";"";"";"";"";"";
"19.02.2016 17:30";"32.0";"758.8";"759.1";"-0.2";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"19.02.2016 14:30";"34.2";"759.0";"759.4";"-1.9";"57";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.6";"";"";"";"";"";"";
"19.02.2016 11:30";"31.4";"760.9";"761.3";"0.2";"60";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"19.02.2016 08:30";"24.6";"760.7";"761.1";"";"85";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"";"";"23.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.9";"";"";"";"";"";"";
"18.02.2016 17:30";"32.8";"757.3";"757.7";"-0.2";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"18.02.2016 14:30";"35.0";"757.5";"757.9";"-1.9";"39";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"18.02.2016 11:30";"35.0";"759.4";"759.8";"0.0";"35";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"18.02.2016 08:30";"25.6";"759.4";"759.7";"";"72";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.1";"";"";"";"";"";"";
"17.02.2016 17:30";"30.0";"757.6";"758.0";"-0.7";"66";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"17.02.2016 14:30";"32.4";"758.3";"758.7";"-2.4";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"17.02.2016 11:30";"31.6";"760.7";"761.1";"0.1";"57";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"17.02.2016 08:30";"23.2";"760.6";"761.0";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"";"";"21.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.8";"";"";"";"";"";"";
"16.02.2016 17:30";"30.8";"758.1";"758.5";"-0.4";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"16.02.2016 14:30";"32.0";"758.5";"758.9";"-2.3";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"16.02.2016 11:30";"30.6";"760.8";"761.2";"0.4";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"16.02.2016 08:30";"22.4";"760.4";"760.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"20.9";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"15.02.2016 17:30";"29.6";"758.1";"758.5";"-0.2";"63";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"15.02.2016 14:30";"32.8";"758.3";"758.7";"-2.0";"52";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"15.02.2016 11:30";"29.6";"760.3";"760.7";"0.1";"55";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"15.02.2016 08:30";"22.6";"760.2";"760.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"20.5";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"14.02.2016 17:30";"29.6";"758.1";"758.5";"-0.2";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"14.02.2016 14:30";"31.8";"758.3";"758.7";"-1.9";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"14.02.2016 11:30";"29.4";"760.2";"760.6";"0.2";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.0";"";"";"";"";"";"";
"14.02.2016 08:30";"22.0";"760.0";"760.3";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"19.9";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"13.02.2016 17:30";"28.8";"758.5";"758.9";"-0.8";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"20.0";"";"";"";"";"";"";
"13.02.2016 14:30";"31.6";"759.3";"759.7";"-1.7";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"13.02.2016 11:30";"29.4";"761.0";"761.4";"0.7";"51";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.2";"";"";"";"";"";"";
"13.02.2016 08:30";"21.4";"760.3";"760.6";"";"86";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"";"";"20.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.9";"";"";"";"";"";"";
"12.02.2016 17:30";"29.6";"758.4";"758.8";"0.0";"62";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"32.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.6";"";"";"";"";"";"";
"12.02.2016 14:30";"32.4";"758.4";"758.8";"-2.0";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"12.02.2016 11:30";"29.6";"760.4";"760.8";"0.6";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"12.02.2016 08:30";"23.2";"759.8";"760.2";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"21.9";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"11.02.2016 17:30";"30.2";"758.2";"758.5";"-0.5";"69";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"33.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.9";"";"";"";"";"";"";
"11.02.2016 14:30";"33.4";"758.7";"759.1";"-1.6";"53";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"11.02.2016 11:30";"29.0";"760.3";"760.7";"0.5";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"11.02.2016 08:30";"23.8";"759.8";"760.2";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"22.5";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"10.02.2016 17:30";"30.0";"758.1";"758.5";"-0.2";"70";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.0";"";"";"";"";"";"";
"10.02.2016 14:30";"33.4";"758.3";"758.7";"-2.0";"57";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.7";"";"";"";"";"";"";
"10.02.2016 11:30";"30.6";"760.3";"760.6";"0.2";"58";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.4";"";"";"";"";"";"";
"10.02.2016 08:30";"23.2";"760.1";"760.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"21.7";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"09.02.2016 17:30";"30.4";"758.2";"758.6";"-0.5";"69";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"32.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"09.02.2016 14:30";"32.6";"758.7";"759.1";"-1.7";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"09.02.2016 11:30";"30.4";"760.4";"760.8";"0.3";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"09.02.2016 08:30";"23.2";"760.1";"760.5";"";"92";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.9";"";"";"";"";"";"";
"08.02.2016 17:30";"29.4";"757.6";"758.0";"-0.5";"67";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
