"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"07.08.2016 23:30","22.2","682.4","","0.8","98","Wind blowing from the south-east","1","","","90  or more, but not 100%","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","40%.","Less than  50","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","21.9","","","","","","",
"07.08.2016 20:30","22.6","681.6","","0.8","96","Calm, no wind","0","","","70 – 80%.","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","200-300","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.0","","","","","","",
"07.08.2016 17:30","24.0","680.8","","-0.6","93","Wind blowing from the north","1","","","100%.","Drizzle, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","","25.9","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","22.8","","","","","","",
"07.08.2016 14:30","24.4","681.4","","-0.7","95","Calm, no wind","0","","","100%.","Clouds generally dissolving or becoming less developed. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","23.5","","","","","","",
"07.08.2016 11:30","22.9","682.1","","0.2","99","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.7","","","","","","",
"07.08.2016 08:30","22.5","681.9","","1.0","100","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","21.5","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.5","","","","","","",
"07.08.2016 05:30","22.1","680.9","","-0.1","100","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, moderate at time of observation. ","Rain.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","22.1","","","","","","",
"07.08.2016 02:30","22.6","681.0","","-0.1","98","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","22.3","","","","","","",
"06.08.2016 23:30","22.6","681.1","","1.1","98","Calm, no wind","0","","","100%.","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","22.3","","","","","","",
"06.08.2016 20:30","23.2","680.0","","-0.2","95","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","90  or more, but not 100%","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.3","","","","","","",
"06.08.2016 17:30","25.4","680.2","","-0.9","89","Calm, no wind","0","","","100%.","Mist. ","Rain.","Drizzle.","","25.5","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","50-100","Altostratus opacus or Nimbostratus.","","2.0","23.4","","","","","","",
"06.08.2016 14:30","24.6","681.1","","-1.5","89","Calm, no wind","0","","","90  or more, but not 100%","State of sky on the whole unchanged. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","20–30%.","50-100","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.7","","","","","","",
"06.08.2016 11:30","22.2","682.6","","0.3","98","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Rain.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","90  or more, but not 100%","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","21.9","","","","","","",
"06.08.2016 08:30","21.4","682.3","","0.9","100","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, heavy at time of observation. ","Rain.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","20.7","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","0.5","21.4","","","","","","",
"06.08.2016 05:30","22.0","681.4","","-0.3","96","Wind blowing from the south-east","1","","","100%.","Rain, not freezing, continuous, heavy at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","21.4","","","","","","",
"06.08.2016 02:30","23.0","681.7","","0.9","95","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","22.1","","","","","","",
"05.08.2016 23:30","25.1","680.8","","0.8","91","Calm, no wind","0","","","70 – 80%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","40%.","1000-1500","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.5","","","","","","",
"05.08.2016 20:30","26.0","680.0","","0.5","90","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","24.3","","","","","","",
"05.08.2016 17:30","27.6","679.5","","-0.4","84","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Thunderstorm(s) with or without precipitation.","Rain.","","34.0","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","40%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","24.7","","","","","","",
"05.08.2016 14:30","30.0","679.9","","-0.9","75","Wind blowing from the north-west","2","","","90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","25.0","","","","","","",
"05.08.2016 11:30","31.8","680.8","","-0.2","66","Calm, no wind","0","","","60%."," ","","","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","24.6","","","","","","",
"05.08.2016 08:30","26.8","681.0","","0.5","85","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","23.7","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","24.0","","","","","","",
"05.08.2016 05:30","24.8","680.5","","0.1","94","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.7","","","","","","",
"05.08.2016 02:30","25.2","680.4","","-0.1","90","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","23.5","","","","","","",
"04.08.2016 23:30","26.5","680.5","","0.6","86","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.9","","","","","","",
"04.08.2016 20:30","28.0","679.9","","1.5","78","Calm, no wind","0","","","70 – 80%.","Lightning visible, no thunder heard. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.8","","","","","","",
"04.08.2016 17:30","32.4","678.4","","-0.8","60","Calm, no wind","0","","","70 – 80%."," ","","","","34.7","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","4.0","23.7","","","","","","",
"04.08.2016 14:30","32.8","679.2","","-1.3","57","Calm, no wind","0","","","50%."," ","","","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.3","","","","","","",
"04.08.2016 11:30","31.6","680.5","","-0.1","63","Calm, no wind","0","","","10%  or less, but not 0","Clouds generally dissolving or becoming less developed. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.8","","","","","","",
"04.08.2016 08:30","25.6","680.6","","0.0","87","Calm, no wind","0","","","60%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","23.0","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","60%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.3","","","","","","",
"04.08.2016 05:30","23.8","680.6","","","98","Calm, no wind","0","","","60%.","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.5","","","","","","",
"03.08.2016 23:30","25.0","680.9","","1.1","90","Calm, no wind","0","","","90  or more, but not 100%"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.3","","","","","","",
"03.08.2016 20:30","26.2","679.8","","1.1","85","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.4","","","","","","",
"03.08.2016 17:30","30.0","678.7","","-0.8","63","Calm, no wind","0","","","50%.","Clouds generally dissolving or becoming less developed. ","Thunderstorm(s) with or without precipitation.","Drizzle.","","32.7","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.1","","","","","","",
"03.08.2016 14:30","31.2","679.5","","-1.2","62","Calm, no wind","0","","","60%."," ","","","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.0","","","","","","",
"03.08.2016 11:30","28.8","680.7","","0.0","66","Calm, no wind","0","","","60%.","Clouds generally forming or developing. ","Rain.","Drizzle.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","60%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","21.9","","","","","","",
"03.08.2016 08:30","25.6","680.7","","0.3","84","Calm, no wind","0","","","70 – 80%."," ","","","21.6","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.7","","","","","","",
"03.08.2016 05:30","22.4","680.4","","0.0","95","Calm, no wind","0","","","100%.","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","21.5","","","","","","",
"03.08.2016 02:30","22.6","680.4","","0.4","95","Calm, no wind","0","","","100%.","Mist. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","1000-1500","Altostratus opacus or Nimbostratus.","","2.0","21.7","","","","","","",
"02.08.2016 23:30","23.6","680.0","","1.3","91","Calm, no wind","0","","","100%.","Drizzle, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","22.1","","","","","","",
"02.08.2016 20:30","25.6","678.7","","0.4","84","Calm, no wind","0","","","90  or more, but not 100%"," ","","","","","Stratocumulus other than Stratocumulus cumulogenitus.","90  or more, but not 100%","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.7","","","","","","",
"02.08.2016 17:30","28.0","678.3","","","71","Calm, no wind","0","","","90  or more, but not 100%"," ","","","","30.1","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.3","","","","","","",
"02.08.2016 11:30","26.0","680.2","","-0.1","80","Calm, no wind","0","","","100%.","Haze. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","50-100","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","4.0","22.3","","","","","","",
"02.08.2016 08:30","23.6","680.3","","0.6","90","Calm, no wind","0","","","100%.","State of sky on the whole unchanged. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","21.7","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","Less than  50","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","21.9","","","","","","",
"02.08.2016 05:30","23.6","679.7","","0.1","96","Wind blowing from the north-west","1","","","100%.","Drizzle, not freezing, intermittent, slight at time of observation. ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","23.0","","","","","","",
"02.08.2016 02:30","24.0","679.6","","0.1","94","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","22.9","","","","","","",
"01.08.2016 23:30","24.4","679.5","","0.7","92","Calm, no wind","0","","","100%.","Mist. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","23.1","","","","","","",
"01.08.2016 20:30","24.8","678.8","","0.7","89","Calm, no wind","0","","","70 – 80%.","State of sky on the whole unchanged. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.8","","","","","","",
"01.08.2016 17:30","27.0","678.1","","-0.8","74","Wind blowing from the south-southwest","2","","","90  or more, but not 100%","Drizzle, not freezing, continuous, slight at time of observation. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","31.9","Stratocumulus other than Stratocumulus cumulogenitus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","21.9","","","","","","",
"01.08.2016 14:30","30.8","678.9","","-1.0","65","Wind blowing from the south","1","","","70 – 80%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.5","","","","","","",
"01.08.2016 11:30","29.0","679.9","","0.0","72","Wind blowing from the south-east","1","","","70 – 80%.","Haze. ","Rain.","Drizzle.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.4","","","","","","",
"01.08.2016 08:30","24.0","679.9","","0.2","95","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Rain.","Drizzle.","22.6","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.1","","","","","","",
"01.08.2016 05:30","23.4","679.7","","","96","Calm, no wind","0","","","100%.","Mist. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","2.0","22.8","","","","","","",
"31.07.2016 23:30","25.2","679.9","","0.9","88","Calm, no wind","0","","","60%.","Lightning visible, no thunder heard. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","60%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.1","","","","","","",
"31.07.2016 20:30","25.6","679.0","","0.4","86","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","23.0","","","","","","",
"31.07.2016 17:30","29.0","678.6","","-1.3","77","Wind blowing from the south","1","","","50%.","Mist. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","32.3","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","24.5","","","","","","",
"31.07.2016 14:30","30.8","679.9","","-1.7","65","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.5","","","","","","",
"31.07.2016 11:30","28.4","681.6","","-0.3","71","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.7","","","","","","",
"31.07.2016 08:30","24.0","681.9","","0.7","92","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.0","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.6","","","","","","",
"31.07.2016 05:30","22.7","681.2","","","98","Calm, no wind","0","","","100%.","Mist. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.3","","","","","","",
"30.07.2016 23:30","23.4","681.8","","1.6","96","Wind blowing from the south","1","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","90  or more, but not 100%","600-1000","Altostratus opacus or Nimbostratus.","","1.0","22.8","","","","","","",
"30.07.2016 20:30","26.0","680.2","","1.1","85","Wind blowing from the north-west","1","","","20–30%.","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.2","","","","","","",
"30.07.2016 17:30","29.0","679.1","","","72","Wind blowing from the south","1","","","20–30%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","31.3","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.5","","","","","","",
"30.07.2016 11:30","25.8","682.0","","0.5","87","Calm, no wind","0","","","70 – 80%.","State of sky on the whole unchanged. ","Rain.","Drizzle.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.5","","","","","","",
"30.07.2016 08:30","23.0","681.5","","0.9","95","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Rain.","Drizzle.","21.1","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus translucidus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.1","","","","","","",
"30.07.2016 05:30","21.7","680.6","","0.1","98","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Rain.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","21.3","","","","","","",
"30.07.2016 02:30","23.1","680.5","","-0.1","91","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","2.0","21.5","","","","","","",
"29.07.2016 23:30","24.2","680.6","","0.9","93","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","23.0","","","","","","",
"29.07.2016 20:30","25.0","679.7","","0.4","89","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","23.0","","","","","","",
"29.07.2016 17:30","26.8","679.3","","-0.8","83","Wind blowing from the north-west","1","","","90  or more, but not 100%","Drizzle (not freezing) or snow grains not falling as shower(s). ","Thunderstorm(s) with or without precipitation.","Rain.","","31.5","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.7","","","","","","",
"29.07.2016 14:30","26.8","680.1","","-1.1","83","Wind blowing from the south-west","1","","","70 – 80%.","Thunderstorm, but no precipitation at the time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.7","","","","","","",
