# Weather station Aligarh, India, WMO_ID=42262,selection from 07.12.2015 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42262&lang=en
#
"Local time in Aligarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.01.2017 08:30";"12.4";"744.4";"761.2";"";"97";"Wind blowing from the north-east";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"";"";"";"";"0.5";"12.0";"";"";"";"";"";"";
"05.01.2017 17:30";"20.8";"742.8";"759.1";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"";"";"";"";"";"1.0";"16.5";"";"";"";"";"";"";
"05.01.2017 08:30";"12.6";"745.8";"762.7";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"";"";"";"";"0.2";"11.9";"";"";"";"";"";"";
"04.01.2017 17:30";"19.6";"745.0";"761.4";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"2.0";"14.8";"";"";"";"";"";"";
"04.01.2017 08:30";"11.6";"746.7";"763.6";"";"95";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.0";"";"";"";"";"";"";"0.2";"10.8";"";"";"";"";"";"";
"03.01.2017 17:30";"19.8";"746.1";"762.5";"";"73";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"14.7";"";"";"";"";"";"";
"03.01.2017 08:30";"11.4";"748.4";"765.4";"";"97";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.05";"11.0";"";"";"";"";"";"";
"02.01.2017 17:30";"16.8";"745.7";"762.3";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"19.8";"";"";"";"";"";"1.0";"14.4";"";"";"";"";"";"";
"02.01.2017 08:30";"11.4";"747.6";"764.6";"";"97";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"11.0";"";"";"";"";"";"";
"01.01.2017 17:30";"17.0";"745.3";"761.9";"";"84";"Wind blowing from the north-east";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.2";"";"";"";"";"";"1.0";"14.2";"";"";"";"";"";"";
"29.12.2016 17:30";"13.8";"745.6";"762.4";"";"93";"Wind blowing from the north-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"14.8";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"12.7";"";"";"";"";"";"";
"29.12.2016 08:30";"12.2";"747.6";"764.5";"";"97";"Wind blowing from the north-east";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"11.8";"";"";"";"";"";"";
"28.12.2016 08:30";"11.4";"746.5";"763.4";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"1.0";"9.4";"";"";"";"";"";"";
"27.12.2016 17:30";"20.4";"745.2";"761.6";"";"64";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"";"";"";"";"";"2.0";"13.4";"";"";"";"";"";"";
"27.12.2016 08:30";"11.6";"";"764.0";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.6";"";"";"";"";"";"";"1.0";"9.6";"";"";"";"";"";"";
"26.12.2016 17:30";"20.4";"";"760.9";"";"69";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"25.12.2016 17:30";"18.2";"";"758.5";"";"87";"Wind blowing from the north-east";"2";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.2";"";"";"";"";"";"0.5";"15.9";"";"";"";"";"";"";
"25.12.2016 08:30";"13.4";"";"760.9";"";"88";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.6";"";"";"";"";"";"";"0.5";"11.5";"";"";"";"";"";"";
"24.12.2016 17:30";"19.8";"";"757.6";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.4";"";"";"";"";"";"1.0";"15.8";"";"";"";"";"";"";
"24.12.2016 08:30";"11.2";"";"760.7";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"10.8";"";"";"";"";"";"";
"23.12.2016 17:30";"21.6";"";"759.9";"";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"";"";"";"";"";"1.0";"12.5";"";"";"";"";"";"";
"23.12.2016 08:30";"10.8";"";"762.5";"";"95";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"0.2";"10.0";"";"";"";"";"";"";
"22.12.2016 17:30";"21.4";"";"760.8";"";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.6";"";"";"";"";"";"1.0";"12.6";"";"";"";"";"";"";
"22.12.2016 08:30";"11.2";"";"763.2";"";"83";"Wind blowing from the south-west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"1.0";"8.4";"";"";"";"";"";"";
"21.12.2016 17:30";"21.4";"";"760.6";"";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"";"";"";"";"";"2.0";"12.6";"";"";"";"";"";"";
"21.12.2016 08:30";"12.4";"";"763.2";"";"79";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.8";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"19.12.2016 08:30";"10.8";"748.1";"765.1";"";"88";"Wind blowing from the north-west";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"0.5";"8.8";"";"";"";"";"";"";
"18.12.2016 08:30";"10.8";"747.6";"764.6";"";"88";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"8.8";"";"";"";"";"";"";
"15.12.2016 17:30";"20.4";"745.3";"761.7";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"15.12.2016 08:30";"13.2";"746.5";"763.3";"";"82";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.4";"";"";"";"";"";"";"1.0";"10.1";"";"";"";"";"";"";
"14.12.2016 17:30";"21.2";"745.8";"762.2";"";"54";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.2";"";"";"";"";"";"1.0";"11.5";"";"";"";"";"";"";
"13.12.2016 17:30";"21.6";"743.4";"759.7";"";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.0";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"13.12.2016 08:30";"13.4";"745.1";"761.9";"";"91";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.4";"";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"12.12.2016 17:30";"21.2";"743.6";"759.9";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"";"";"";"";"";"1.0";"11.5";"";"";"";"";"";"";
"12.12.2016 08:30";"13.4";"745.2";"762.0";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"13.0";"";"";"";"";"";"";
"11.12.2016 17:30";"17.8";"742.9";"759.4";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.0";"";"";"";"";"";"1.0";"14.0";"";"";"";"";"";"";
"11.12.2016 08:30";"11.6";"745.5";"762.4";"";"97";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"11.2";"";"";"";"";"";"";
"10.12.2016 17:30";"16.8";"743.2";"759.8";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"18.0";"";"";"";"";"";"1.0";"14.4";"";"";"";"";"";"";
"10.12.2016 08:30";"11.4";"745.5";"762.4";"";"97";"Wind blowing from the north-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"11.0";"";"";"";"";"";"";
"09.12.2016 17:30";"16.4";"743.1";"759.7";"";"85";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"18.6";"";"";"";"";"";"1.0";"13.9";"";"";"";"";"";"";
"08.12.2016 17:30";"17.8";"744.9";"761.4";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.0";"";"";"";"";"";"0.5";"14.7";"";"";"";"";"";"";
"08.12.2016 08:30";"11.2";"747.2";"764.2";"";"95";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"0.2";"10.4";"";"";"";"";"";"";
"07.12.2016 17:30";"14.2";"745.8";"762.6";"";"96";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"14.6";"";"";"";"";"";"0.2";"13.5";"";"";"";"";"";"";
"07.12.2016 08:30";"12.4";"748.1";"765.0";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"12.0";"";"";"";"";"";"";
"06.12.2016 17:30";"15.6";"746.1";"762.8";"";"94";"Wind blowing from the north-east";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"16.6";"";"";"";"";"";"0.5";"14.6";"";"";"";"";"";"";
"05.12.2016 17:30";"21.6";"745.1";"761.4";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.4";"";"";"";"";"";"2.0";"14.5";"";"";"";"";"";"";
"05.12.2016 08:30";"13.8";"747.9";"764.7";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"04.12.2016 17:30";"21.8";"746.3";"762.6";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"";"";"";"";"";"1.0";"16.9";"";"";"";"";"";"";
"03.12.2016 17:30";"21.4";"746.2";"762.6";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.2";"";"";"";"";"";"1.0";"16.0";"";"";"";"";"";"";
"03.12.2016 08:30";"13.4";"749.2";"766.1";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"13.0";"";"";"";"";"";"";
"02.12.2016 17:30";"21.4";"745.7";"762.0";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.6";"";"";"";"";"";"1.0";"18.5";"";"";"";"";"";"";
"02.12.2016 08:30";"14.4";"747.8";"764.6";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"14.0";"";"";"";"";"";"";
"01.12.2016 17:30";"22.4";"745.5";"761.8";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"";"";"";"1.0";"18.9";"";"";"";"";"";"";
"30.11.2016 17:30";"23.6";"745.0";"761.2";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.8";"";"";"";"";"";"1.0";"19.6";"";"";"";"";"";"";
"30.11.2016 08:30";"14.4";"747.4";"764.2";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.4";"";"";"";"";"";"";"0.5";"12.0";"";"";"";"";"";"";
"29.11.2016 17:30";"23.8";"744.3";"760.5";"";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"2.0";"16.3";"";"";"";"";"";"";
"29.11.2016 08:30";"14.4";"745.7";"762.4";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"28.11.2016 17:30";"24.6";"742.7";"758.8";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"28.11.2016 08:30";"16.4";"744.3";"760.9";"";"57";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"27.11.2016 17:30";"24.8";"742.8";"758.9";"";"47";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.4";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"27.11.2016 08:30";"18.6";"744.4";"760.9";"";"56";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.4";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"26.11.2016 17:30";"25.0";"743.0";"759.1";"";"57";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.6";"";"";"";"";"";"2.0";"15.8";"";"";"";"";"";"";
"26.11.2016 08:30";"18.4";"743.9";"760.4";"";"54";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.2";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"25.11.2016 17:30";"25.0";"742.2";"758.3";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.2";"";"";"";"";"";"2.0";"8.6";"";"";"";"";"";"";
"25.11.2016 08:30";"15.8";"745.0";"761.7";"";"65";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.4";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"24.11.2016 17:30";"24.8";"744.7";"760.8";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"24.11.2016 08:30";"16.2";"745.8";"762.4";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.4";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"23.11.2016 17:30";"25.0";"742.9";"759.0";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.4";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"23.11.2016 08:30";"16.8";"743.9";"760.5";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"";"";"";"";"";"2.0";"11.3";"";"";"";"";"";"";
"22.11.2016 17:30";"26.6";"741.8";"757.8";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"2.0";"11.6";"";"";"";"";"";"";
"21.11.2016 17:30";"25.2";"742.4";"758.5";"";"44";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"20.11.2016 17:30";"24.8";"744.7";"760.8";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"20.11.2016 08:30";"16.4";"744.2";"760.8";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.6";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"19.11.2016 17:30";"23.6";"742.6";"758.8";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"2.0";"11.1";"";"";"";"";"";"";
"19.11.2016 08:30";"16.2";"744.5";"761.1";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.6";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"18.11.2016 17:30";"22.8";"744.4";"760.6";"";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"2.0";"10.5";"";"";"";"";"";"";
"18.11.2016 08:30";"16.0";"746.5";"763.2";"";"63";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.4";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"17.11.2016 17:30";"23.0";"744.8";"761.0";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.8";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"17.11.2016 08:30";"16.2";"747.5";"764.2";"";"68";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.6";"";"";"";"";"";"";"2.0";"10.2";"";"";"";"";"";"";
"16.11.2016 08:30";"16.8";"747.6";"764.3";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"";"";"";"";"";"2.0";"10.0";"";"";"";"";"";"";
