# Weather station Comilla, Bangladesh, WMO_ID=41933,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=41933&lang=en
#
"Local time in Comilla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.10.2014 15:00";"32.2";"754.0";"754.6";"-2.7";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"23.0";"";"";"";"";"";"";
"08.10.2014 12:00";"33.5";"756.7";"757.3";"-1.0";"65";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"08.10.2014 09:00";"29.0";"757.7";"758.3";"1.0";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"6.0";"26.0";"";"";"";"";"";"";
"08.10.2014 06:00";"24.8";"756.7";"757.3";"0.0";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"5.0";"24.0";"";"";"";"";"";"";
"08.10.2014 03:00";"25.2";"756.7";"757.3";"0.1";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"08.10.2014 00:00";"26.0";"756.6";"757.3";"0.4";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"07.10.2014 21:00";"27.0";"756.2";"756.8";"1.0";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"07.10.2014 18:00";"30.8";"755.2";"755.8";"1.3";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"07.10.2014 15:00";"34.0";"753.9";"754.6";"-3.6";"63";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"07.10.2014 12:00";"31.5";"757.5";"758.1";"-1.0";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"23.0";"";"";"";"";"";"";
"07.10.2014 09:00";"27.7";"758.5";"759.2";"1.3";"76";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"23.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"23.0";"";"";"";"";"";"";
"07.10.2014 06:00";"23.5";"757.2";"757.8";"0.5";"91";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"22.0";"";"";"";"";"";"";
"07.10.2014 03:00";"25.0";"756.7";"757.3";"0.3";"94";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"07.10.2014 00:00";"27.0";"756.4";"757.0";"";"94";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"06.10.2014 18:00";"28.3";"754.2";"754.8";"-0.7";"73";"Calm, no wind";"0";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"35.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"23.0";"10.0";"1";"";"";"";"";
"06.10.2014 15:00";"26.3";"754.9";"755.5";"-2.7";"68";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, moderate at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"20.0";"";"";"";"";"";"";
"06.10.2014 12:00";"32.8";"757.6";"758.2";"-1.1";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"8.0";"24.0";"";"";"";"";"";"";
"06.10.2014 09:00";"30.2";"758.7";"759.3";"0.9";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.3";"";"";"";"";"";"";"5.0";"25.0";"";"";"";"";"";"";
"06.10.2014 06:00";"26.3";"757.8";"758.4";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"06.10.2014 03:00";"27.0";"757.1";"757.8";"-0.2";"94";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"06.10.2014 00:00";"27.5";"757.3";"758.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"05.10.2014 18:00";"31.0";"755.5";"756.1";"0.3";"70";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"34.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"05.10.2014 15:00";"33.7";"755.2";"755.8";"-2.0";"64";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"26.0";"";"";"";"";"";"";
"05.10.2014 12:00";"32.7";"757.2";"757.8";"-1.0";"64";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"05.10.2014 09:00";"30.5";"758.2";"758.8";"1.1";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"05.10.2014 06:00";"25.8";"757.1";"757.7";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.5";"24.0";"";"";"";"";"";"";
"05.10.2014 03:00";"26.3";"756.9";"757.5";"0.2";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"05.10.2014 00:00";"27.2";"756.7";"757.3";"0.3";"88";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"04.10.2014 21:00";"28.0";"756.4";"757.0";"2.0";"84";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"04.10.2014 18:00";"30.2";"754.4";"755.0";"0.2";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"04.10.2014 15:00";"32.5";"754.2";"754.8";"-2.6";"61";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.0";"";"";"";"";"";"";
"04.10.2014 12:00";"32.7";"756.8";"757.4";"-0.8";"60";"Calm, no wind";"0";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"24.0";"";"";"";"";"";"";
"04.10.2014 09:00";"29.8";"757.6";"758.2";"0.9";"80";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"26.3";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"04.10.2014 06:00";"26.6";"756.7";"757.3";"";"97";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.5";"26.0";"";"";"";"";"";"";
"04.10.2014 03:00";"27.4";"756.3";"757.0";"0.2";"87";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.0";"";"";"";"";"";"";
"04.10.2014 00:00";"28.4";"756.1";"756.7";"0.0";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"03.10.2014 21:00";"29.2";"756.1";"756.8";"1.9";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"03.10.2014 18:00";"31.0";"754.2";"754.8";"-0.1";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"03.10.2014 15:00";"33.8";"754.3";"754.9";"-2.0";"53";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"23.0";"";"";"";"";"";"";
"03.10.2014 12:00";"32.8";"756.3";"757.0";"-1.4";"72";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"6.0";"27.0";"";"";"";"";"";"";
"03.10.2014 09:00";"29.0";"757.7";"758.3";"1.4";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"03.10.2014 06:00";"26.2";"756.3";"757.0";"";"93";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"03.10.2014 03:00";"26.6";"756.1";"756.7";"-0.1";"91";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"25.0";"";"";"";"";"";"";
"03.10.2014 00:00";"27.0";"756.2";"756.8";"0.4";"89";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"25.0";"";"";"";"";"";"";
"02.10.2014 21:00";"27.6";"755.8";"756.4";"1.2";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"26.0";"";"";"";"";"";"";
"02.10.2014 18:00";"30.4";"754.6";"755.2";"-0.1";"82";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.0";"";"";"";"";"";"";
"02.10.2014 15:00";"33.2";"754.7";"755.3";"-2.8";"55";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"23.0";"";"";"";"";"";"";
"02.10.2014 12:00";"33.0";"757.5";"758.2";"-0.9";"67";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"02.10.2014 09:00";"30.5";"758.4";"759.0";"0.9";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"5.0";"25.0";"";"";"";"";"";"";
"02.10.2014 06:00";"26.3";"757.5";"758.1";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"5.0";"25.0";"";"";"";"";"";"";
"02.10.2014 03:00";"27.0";"757.5";"758.2";"0.1";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"02.10.2014 00:00";"28.0";"757.4";"758.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"01.10.2014 18:00";"31.0";"755.4";"756.0";"0.0";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"5.0";"23.0";"";"";"";"";"";"";
"01.10.2014 15:00";"32.5";"755.4";"756.0";"-1.9";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"01.10.2014 12:00";"33.2";"757.3";"757.9";"-1.5";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"25.0";"";"";"";"";"";"";
"01.10.2014 09:00";"30.2";"758.8";"759.4";"1.3";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"01.10.2014 06:00";"26.2";"757.5";"758.1";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"01.10.2014 00:00";"27.5";"756.9";"757.6";"";"92";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"30.09.2014 18:00";"30.2";"755.4";"756.0";"";"69";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"30.09.2014 12:00";"31.6";"755.9";"758.0";"-2.5";"68";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"30.09.2014 09:00";"29.8";"758.4";"759.0";"1.7";"80";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"26.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"30.09.2014 06:00";"26.6";"756.7";"757.4";"-0.2";"91";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"25.0";"";"";"";"";"";"";
"30.09.2014 03:00";"27.2";"756.9";"757.6";"0.0";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"3.0";"25.0";"";"";"";"";"";"";
"30.09.2014 00:00";"27.8";"756.9";"757.5";"0.6";"90";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"26.0";"";"";"";"";"";"";
"29.09.2014 21:00";"29.0";"756.3";"756.9";"1.7";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"26.0";"";"";"";"";"";"";
"29.09.2014 18:00";"30.4";"754.6";"755.2";"0.0";"73";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"29.09.2014 15:00";"34.0";"754.6";"755.2";"";"63";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"29.09.2014 09:00";"30.3";"758.5";"759.1";"1.3";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"29.09.2014 06:00";"25.9";"757.2";"757.8";"0.2";"95";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"29.09.2014 03:00";"26.3";"757.0";"757.6";"-0.1";"93";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"29.09.2014 00:00";"27.0";"757.1";"757.7";"-0.5";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"28.09.2014 21:00";"28.0";"757.6";"758.2";"1.4";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"28.09.2014 18:00";"29.7";"756.2";"756.8";"0.1";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"28.09.2014 15:00";"33.6";"756.1";"756.7";"-2.4";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.0";"";"";"";"";"";"";
"28.09.2014 12:00";"33.0";"758.5";"759.1";"-0.8";"59";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.0";"";"";"";"";"";"";
"28.09.2014 09:00";"29.5";"759.3";"760.0";"1.5";"81";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"28.09.2014 06:00";"25.0";"757.8";"758.5";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"5.0";"24.0";"";"";"";"";"";"";
"28.09.2014 03:00";"26.0";"757.8";"758.4";"-0.1";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"28.09.2014 00:00";"27.2";"757.9";"758.5";"0.2";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"27.09.2014 21:00";"28.0";"757.7";"758.3";"1.5";"89";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"27.09.2014 18:00";"29.8";"756.2";"756.9";"0.9";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"23.0";"";"";"";"";"";"";
"27.09.2014 15:00";"33.0";"755.3";"756.5";"-2.5";"67";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"27.09.2014 12:00";"32.0";"757.8";"758.4";"";"67";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
