# Weather station Medak, India, WMO_ID=43083,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43083&lang=en
#
"Local time in Medak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.03.2017 08:30";"26.6";"718.0";"757.1";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"30.03.2017 17:30";"38.2";"714.6";"751.9";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"20.0";"16.5";"";"";"";"";"";"";
"29.03.2017 08:30";"26.2";"716.9";"755.9";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"28.03.2017 17:30";"37.0";"714.9";"752.5";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"40.5";"";"";"";"";"";"20.0";"12.2";"";"";"";"";"";"";
"28.03.2017 08:30";"28.6";"718.6";"757.6";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.1";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"27.03.2017 17:30";"37.7";"714.8";"752.4";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"20.0";"12.5";"";"";"";"";"";"";
"27.03.2017 08:30";"27.0";"718.0";"757.0";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"26.03.2017 08:30";"26.0";"717.9";"757.1";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.3";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"25.03.2017 17:30";"36.8";"714.3";"751.9";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.2";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"25.03.2017 08:30";"26.0";"717.8";"757.0";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"24.03.2017 17:30";"36.6";"714.2";"751.8";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.3";"";"";"";"";"";"20.0";"13.0";"";"";"";"";"";"";
"24.03.2017 08:30";"26.6";"717.4";"756.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"23.03.2017 17:30";"35.2";"714.9";"752.7";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"20.0";"13.2";"";"";"";"";"";"";
"23.03.2017 08:30";"25.0";"717.6";"756.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"22.03.2017 20:30";"34.0";"715.2";"753.2";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"22.03.2017 17:30";"34.0";"715.2";"753.2";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"20.0";"11.8";"";"";"";"";"";"";
"22.03.2017 08:30";"26.2";"720.5";"759.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"21.03.2017 17:30";"32.8";"716.6";"754.9";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"20.0";"12.8";"";"";"";"";"";"";
"21.03.2017 08:30";"25.4";"718.9";"758.2";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"20.03.2017 17:30";"31.0";"715.8";"754.2";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"20.0";"13.4";"";"";"";"";"";"";
"20.03.2017 08:30";"25.0";"718.3";"757.7";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"19.03.2017 17:30";"33.0";"715.4";"753.6";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"20.0";"14.0";"";"";"";"";"";"";
"19.03.2017 08:30";"23.6";"717.9";"757.4";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"18.03.2017 17:30";"31.2";"715.2";"753.5";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"20.0";"13.2";"";"";"";"";"";"";
"18.03.2017 08:30";"23.6";"718.3";"757.9";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"17.03.2017 17:30";"31.6";"714.7";"752.9";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"20.0";"16.4";"";"";"";"";"";"";
"17.03.2017 08:30";"23.2";"717.9";"757.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.1";"";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"16.03.2017 17:30";"32.2";"714.7";"752.8";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"20.0";"19.1";"";"";"";"";"";"";
"16.03.2017 08:30";"25.0";"719.0";"758.4";"";"77";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"19.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"15.03.2017 17:30";"30.8";"715.3";"753.7";"";"52";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.9";"";"";"";"";"";"";
"15.03.2017 08:30";"25.2";"718.9";"758.1";"";"76";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.6";"";"";"";"";"";"";
"14.03.2017 08:30";"25.6";"718.0";"757.3";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"13.03.2017 17:30";"32.2";"714.8";"753.0";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"20.0";"9.8";"";"";"";"";"";"";
"13.03.2017 08:30";"22.0";"718.6";"758.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"12.03.2017 17:30";"29.2";"715.3";"753.9";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"20.0";"10.7";"";"";"";"";"";"";
"12.03.2017 08:30";"21.6";"718.3";"758.2";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"11.03.2017 08:30";"23.0";"716.3";"755.9";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"10.03.2017 17:30";"32.0";"719.0";"757.5";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"20.0";"12.0";"";"";"";"";"";"";
"10.03.2017 08:30";"23.6";"715.3";"754.6";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"09.03.2017 17:30";"31.8";"711.9";"750.0";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.8";"";"";"";"";"";"";
"09.03.2017 08:30";"24.0";"715.1";"754.5";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.1";"";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"08.03.2017 17:30";"31.6";"712.3";"750.4";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"20.0";"15.1";"";"";"";"";"";"";
"08.03.2017 08:30";"24.6";"715.4";"754.6";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"07.03.2017 17:30";"34.0";"712.0";"749.8";"";"30";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"37.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"14.2";"";"";"";"";"";"";
"07.03.2017 08:30";"27.0";"715.1";"754.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"06.03.2017 17:30";"34.0";"712.1";"750.0";"";"34";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"36.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.9";"";"";"";"";"";"";
"06.03.2017 08:30";"25.8";"715.8";"754.9";"";"79";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"10.0";"21.9";"";"";"";"";"";"";
"05.03.2017 17:30";"33.6";"712.2";"750.1";"";"40";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"37.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.2";"";"";"";"";"";"";
"05.03.2017 08:30";"26.0";"715.6";"754.7";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"04.03.2017 17:30";"33.0";"712.5";"750.4";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"04.03.2017 08:30";"23.0";"716.2";"755.7";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.7";"";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"03.03.2017 17:30";"32.6";"713.0";"751.0";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"20.0";"11.5";"";"";"";"";"";"";
"03.03.2017 08:30";"21.6";"716.5";"756.1";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"02.03.2017 17:30";"32.4";"714.5";"752.2";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"02.03.2017 08:30";"23.0";"718.6";"758.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"01.03.2017 17:30";"32.2";"716.1";"754.3";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"20.0";"14.2";"";"";"";"";"";"";
"01.03.2017 08:30";"23.2";"718.9";"758.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"28.02.2017 08:30";"22.2";"719.9";"759.7";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"27.02.2017 17:30";"31.2";"716.8";"755.2";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"20.0";"11.3";"";"";"";"";"";"";
"27.02.2017 08:30";"21.2";"718.9";"758.8";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"26.02.2017 17:30";"31.5";"715.4";"753.7";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"20.0";"9.9";"";"";"";"";"";"";
"26.02.2017 08:30";"22.0";"718.6";"758.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"25.02.2017 17:30";"31.0";"716.8";"755.2";"";"23";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"35.1";"";"";"2500 or more, or no clouds.";"";"";"20.0";"7.7";"";"";"";"";"";"";
"25.02.2017 08:30";"22.6";"720.5";"760.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.7";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"24.02.2017 17:30";"32.8";"717.0";"755.2";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.1";"";"";"";"";"";"20.0";"11.3";"";"";"";"";"";"";
"24.02.2017 08:30";"21.6";"719.9";"759.8";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"23.02.2017 17:30";"30.6";"718.0";"756.4";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.4";"";"";"";"";"";"20.0";"15.8";"";"";"";"";"";"";
"23.02.2017 08:30";"21.6";"719.1";"758.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"22.02.2017 17:30";"32.6";"715.3";"753.5";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.1";"";"";"";"";"";"20.0";"15.2";"";"";"";"";"";"";
"22.02.2017 08:30";"23.0";"717.7";"757.3";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"21.02.2017 17:30";"33.0";"714.1";"752.2";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"20.0";"12.6";"";"";"";"";"";"";
"21.02.2017 08:30";"22.2";"717.4";"757.0";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"20.02.2017 17:30";"33.0";"714.0";"752.1";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"20.0";"8.4";"";"";"";"";"";"";
"20.02.2017 08:30";"19.6";"718.0";"758.0";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.1";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"19.02.2017 17:30";"26.6";"718.4";"756.9";"";"54";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.6";"";"";"";"";"";"";
"19.02.2017 08:30";"20.6";"722.5";"762.7";"";"52";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"13.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.3";"";"";"";"";"";"";
"18.02.2017 17:30";"25.6";"719.8";"759.1";"";"55";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.8";"";"";"";"";"";"";
"17.02.2017 17:30";"26.2";"719.5";"758.6";"";"47";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"13.9";"";"";"";"";"";"";
"17.02.2017 08:30";"20.6";"722.9";"763.1";"";"56";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.6";"";"";"";"";"";"";
"16.02.2017 17:30";"27.6";"720.4";"759.4";"";"53";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.1";"";"";"";"";"";"";
"16.02.2017 08:30";"22.6";"723.6";"763.5";"";"65";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.6";"";"";"";"";"";"";
"15.02.2017 17:30";"26.2";"721.8";"761.1";"";"61";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.0";"";"";"";"";"";"";
"15.02.2017 08:30";"21.8";"724.7";"764.8";"";"64";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.7";"";"";"";"";"";"";
"14.02.2017 17:30";"25.8";"722.2";"761.5";"";"60";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.5";"";"";"";"";"";"";
"14.02.2017 08:30";"21.6";"725.1";"764.4";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"13.02.2017 08:30";"20.8";"718.0";"757.9";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"12.02.2017 08:30";"20.6";"720.4";"760.4";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"11.02.2017 08:30";"21.2";"719.7";"758.0";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"10.02.2017 17:30";"30.8";"715.3";"753.7";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.3";"";"";"";"";"";"20.0";"13.1";"";"";"";"";"";"";
"10.02.2017 08:30";"21.6";"718.3";"758.2";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"09.02.2017 17:30";"31.4";"716.0";"754.3";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"20.0";"16.5";"";"";"";"";"";"";
"09.02.2017 08:30";"21.2";"719.0";"758.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"08.02.2017 17:30";"30.4";"716.6";"755.1";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"20.0";"15.1";"";"";"";"";"";"";
"08.02.2017 08:30";"19.6";"719.7";"759.8";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.7";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"07.02.2017 08:30";"21.0";"719.4";"759.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"05.02.2017 17:30";"30.0";"716.5";"755.2";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"20.0";"11.4";"";"";"";"";"";"";
"05.02.2017 08:30";"19.6";"719.5";"759.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"04.02.2017 17:30";"28.2";"716.9";"755.8";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"20.0";"13.0";"";"";"";"";"";"";
"04.02.2017 08:30";"19.2";"719.9";"760.0";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"03.02.2017 17:30";"30.8";"718.3";"756.9";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"20.0";"16.9";"";"";"";"";"";"";
"03.02.2017 08:30";"19.4";"721.1";"761.3";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"02.02.2017 17:30";"31.4";"718.5";"757.0";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"20.0";"16.9";"";"";"";"";"";"";
"01.02.2017 17:30";"30.0";"717.4";"755.2";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"20.0";"15.8";"";"";"";"";"";"";
"01.02.2017 08:30";"19.6";"719.2";"759.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"31.01.2017 17:30";"29.4";"718.6";"757.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"20.0";"13.8";"";"";"";"";"";"";
"31.01.2017 08:30";"17.2";"719.9";"760.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"30.01.2017 17:30";"30.2";"717.1";"755.4";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"20.0";"11.2";"";"";"";"";"";"";
"30.01.2017 08:30";"18.2";"720.7";"760.9";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"29.01.2017 17:30";"27.4";"718.2";"757.2";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"20.0";"16.1";"";"";"";"";"";"";
"29.01.2017 08:30";"19.0";"720.9";"761.2";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.3";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"28.01.2017 08:30";"21.2";"721.0";"761.0";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.3";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"27.01.2017 17:30";"29.2";"717.5";"756.3";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"20.0";"14.3";"";"";"";"";"";"";
"27.01.2017 08:30";"22.0";"720.2";"760.1";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.7";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"26.01.2017 17:30";"27.5";"719.2";"758.2";"";"49";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.9";"";"";"";"";"";"";
"26.01.2017 08:30";"22.6";"720.8";"760.6";"";"60";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"14.5";"";"";"";"";"";"";
"25.01.2017 17:30";"28.0";"718.7";"757.7";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"20.0";"12.7";"";"";"";"";"";"";
"25.01.2017 08:30";"19.2";"722.5";"762.8";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
