# Weather station Calicut (airport), India, WMO_ID=43320,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43320&lang=en
#
"Local time in Calicut (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.02.2017 08:30";"23.8";"751.9";"761.2";"";"66";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"21.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"4.0";"17.0";"";"";"";"";"";"";
"18.02.2017 17:30";"30.8";"748.5";"757.6";"";"43";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"18.02.2017 08:30";"25.2";"751.3";"760.6";"";"56";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"17.02.2017 17:30";"33.8";"746.9";"755.8";"";"27";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"17.02.2017 08:30";"25.6";"751.1";"760.3";"";"42";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"16.02.2017 08:30";"25.4";"751.0";"760.3";"";"61";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"15.02.2017 17:30";"32.4";"749.1";"758.1";"";"50";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"15.02.2017 08:30";"27.0";"752.2";"761.4";"";"56";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"14.02.2017 17:30";"32.0";"749.3";"758.3";"";"49";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"14.02.2017 08:30";"26.0";"752.3";"761.5";"";"69";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.8";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"13.02.2017 17:30";"32.0";"748.6";"757.6";"";"35";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"35.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.8";"";"";"";"";"";"";
"13.02.2017 08:30";"24.8";"751.9";"761.2";"";"59";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"12.02.2017 17:30";"30.2";"748.5";"757.6";"";"54";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"12.02.2017 08:30";"23.8";"751.0";"760.3";"";"72";"Wind blowing from the east";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.8";"";"";"";"";"";"";"2.0";"18.4";"";"";"";"";"";"";
"11.02.2017 17:30";"30.8";"747.5";"756.5";"";"49";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"33.7";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"11.02.2017 08:30";"25.2";"750.2";"759.4";"";"74";"Wind blowing from the east";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"10.02.2017 17:30";"30.2";"746.7";"755.8";"";"53";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"33.7";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"10.02.2017 08:30";"24.2";"750.0";"759.3";"";"66";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.8";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"09.02.2017 17:30";"30.4";"747.3";"756.4";"";"47";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"34.7";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"09.02.2017 08:30";"25.2";"750.5";"759.8";"";"66";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"08.02.2017 17:30";"30.0";"747.9";"757.0";"";"55";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"08.02.2017 08:30";"25.0";"751.1";"760.4";"";"79";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"22.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"07.02.2017 17:30";"30.0";"747.7";"756.8";"";"59";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"07.02.2017 08:30";"25.0";"750.8";"760.1";"";"83";"Wind blowing from the east";"3";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"";"";"";"";"";"2.0";"22.0";"";"";"";"";"";"";
"06.02.2017 17:30";"29.6";"747.9";"757.0";"";"61";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"06.02.2017 08:30";"24.6";"751.4";"760.7";"";"74";"Wind blowing from the east-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"05.02.2017 17:30";"30.0";"748.0";"757.1";"";"50";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"05.02.2017 08:30";"24.8";"750.8";"760.1";"";"54";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"21.7";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"04.02.2017 17:30";"32.0";"747.3";"756.3";"";"41";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"34.7";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"04.02.2017 08:30";"24.6";"750.9";"760.2";"";"66";"Wind blowing from the east";"5";"";"";"40%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"03.02.2017 17:30";"30.6";"748.0";"757.1";"";"52";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"34.3";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"03.02.2017 08:30";"24.0";"752.0";"761.3";"";"80";"Wind blowing from the south-east";"3";"";"";"20–30%.";" ";"";"";"22.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.3";"";"";"";"";"";"";
"02.02.2017 08:30";"25.0";"751.9";"761.2";"";"82";"Wind blowing from the east";"3";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.0";"";"Stratocumulus cumulogenitus.";"40%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.7";"";"";"";"";"";"";
"01.02.2017 17:30";"31.0";"748.5";"757.5";"";"54";"Wind blowing from the west-southwest";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"34.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"01.02.2017 08:30";"25.6";"750.8";"760.0";"";"69";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.4";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"31.01.2017 17:30";"30.0";"747.9";"757.0";"";"69";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"34.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"31.01.2017 08:30";"25.8";"750.2";"759.4";"";"78";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"23.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.6";"";"";"";"";"";"";
"30.01.2017 17:30";"30.8";"747.7";"756.7";"";"61";"Wind blowing from the west-northwest";"4";"";"";"20–30%.";" ";"";"";"";"33.1";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"30.01.2017 08:30";"27.4";"750.8";"760.0";"";"76";"Wind blowing from the east";"3";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"29.01.2017 17:30";"31.2";"748.2";"757.2";"";"62";"Wind blowing from the west-northwest";"5";"";"";"50%.";" ";"";"";"";"35.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"29.01.2017 08:30";"26.8";"750.7";"759.9";"";"74";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.8";"";"";"";"";"";"";
"28.01.2017 17:30";"30.4";"747.6";"756.7";"";"64";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"32.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.8";"";"";"";"";"";"";
"28.01.2017 08:30";"26.2";"749.6";"758.8";"";"79";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.3";"";"";"";"";"";"";
"27.01.2017 17:30";"29.0";"748.0";"757.1";"";"64";"Wind blowing from the north";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"27.01.2017 08:30";"27.0";"750.1";"759.3";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.3";"";"";"";"";"";"";
"26.01.2017 17:30";"30.5";"748.5";"757.6";"";"56";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"32.8";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"26.01.2017 08:30";"25.8";"750.7";"759.9";"";"71";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"25.01.2017 17:30";"32.0";"748.0";"757.0";"";"38";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.3";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"25.01.2017 08:30";"25.6";"751.4";"760.7";"";"60";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.3";"";"";"";"";"";"";
"24.01.2017 17:30";"31.0";"748.0";"757.0";"";"57";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"34.8";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"24.01.2017 08:30";"25.4";"750.8";"760.0";"";"61";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.4";"";"";"";"";"";"";
"23.01.2017 17:30";"32.0";"748.5";"757.5";"";"44";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"34.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.1";"";"";"";"";"";"";
"23.01.2017 08:30";"24.6";"752.0";"761.3";"";"71";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"22.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.0";"";"";"";"";"";"";
"22.01.2017 17:30";"29.0";"749.7";"758.8";"";"68";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"22.01.2017 08:30";"26.8";"751.9";"761.1";"";"71";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"21.01.2017 17:30";"29.4";"748.7";"757.8";"";"64";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"33.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"21.01.2017 11:30";"29.4";"748.7";"757.8";"-2.2";"64";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"33.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"21.01.2017 08:30";"25.0";"750.9";"760.2";"";"71";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"22.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"20.01.2017 17:30";"29.4";"747.8";"756.9";"";"52";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"32.3";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"20.01.2017 08:30";"23.2";"751.4";"760.7";"";"62";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"19.01.2017 17:30";"30.0";"748.5";"757.6";"";"42";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"19.01.2017 08:30";"23.0";"751.5";"760.8";"";"56";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"18.01.2017 17:30";"30.8";"748.2";"757.3";"";"42";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"18.01.2017 08:30";"23.8";"751.3";"760.6";"";"55";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"17.01.2017 17:30";"30.6";"747.9";"757.0";"";"42";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"17.01.2017 08:30";"23.6";"751.2";"760.5";"";"70";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"16.01.2017 17:30";"29.6";"748.2";"757.3";"";"55";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"16.01.2017 08:30";"23.6";"751.9";"761.2";"";"70";"Wind blowing from the east";"4";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.4";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"15.01.2017 17:30";"30.2";"748.1";"757.2";"";"48";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"15.01.2017 08:30";"24.0";"751.3";"760.6";"";"69";"Wind blowing from the east";"5";"";"";"10%  or less, but not 0";" ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.0";"";"";"";"";"";"";
"14.01.2017 17:30";"29.2";"747.3";"756.4";"";"53";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.7";"";"";"";"";"";"";
"14.01.2017 08:30";"24.2";"749.8";"759.1";"";"69";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"13.01.2017 17:30";"29.4";"746.4";"755.5";"";"51";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"13.01.2017 08:30";"24.6";"749.6";"758.9";"";"73";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"12.01.2017 17:30";"29.0";"746.9";"756.0";"";"52";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"31.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"12.01.2017 08:30";"22.8";"749.9";"759.2";"";"68";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"20.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.6";"";"";"";"";"";"";
"11.01.2017 17:30";"29.8";"747.6";"756.7";"";"42";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"32.3";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"11.01.2017 08:30";"24.0";"750.4";"759.7";"";"71";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"10.01.2017 17:30";"29.0";"747.4";"756.5";"";"49";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"32.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.3";"";"";"";"";"";"";
"10.01.2017 08:30";"23.6";"749.9";"759.2";"";"75";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"18.9";"";"";"";"";"";"";
"09.01.2017 17:30";"28.2";"746.8";"755.9";"";"57";"Wind blowing from the west-northwest";"3";"";"";"20–30%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"18.9";"";"";"";"";"";"";
"09.01.2017 08:30";"23.4";"749.2";"758.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.2";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
