# Weather station Dadeldhura, Nepal, WMO_ID=44404,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44404&lang=en
#
"Local time in Dadeldhura";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.08.2015 17:45";"19.0";"607.6";"";"-1.9";"96";"Wind blowing from the south-west";"2";"";"";"60%.";"Rain (not freezing) not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"22.8";"";"";"300-600";"";"";"6.0";"18.4";"3.0";"9";"";"";"";"";
"11.08.2015 14:45";"18.0";"609.5";"";"0.7";"100";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Fog or ice fog or thick haze.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altostratus translucidus.";"";"0.1";"18.0";"";"";"";"";"";"";
"11.08.2015 11:45";"22.3";"608.8";"";"0.5";"86";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.8";"";"";"";"";"";"";
"11.08.2015 08:45";"21.1";"608.3";"";"1.8";"94";"Wind blowing from the east";"1";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.1";"0.4";"24";"";"";"";"";
"11.08.2015 05:45";"19.2";"606.5";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.2";"19.2";"";"";"";"";"";"";
"10.08.2015 17:45";"24.4";"605.5";"";"-0.7";"81";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"26.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"21.0";"No precipitation";"9";"";"";"";"";
"10.08.2015 14:45";"25.4";"606.2";"";"-0.8";"76";"Wind blowing from the west-southwest";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"20.9";"";"";"";"";"";"";
"10.08.2015 11:45";"23.9";"607.0";"";"";"82";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"20.6";"";"";"";"";"";"";
"10.08.2015 05:45";"18.6";"606.3";"";"";"100";"Wind blowing from the south";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"Less than  50";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.2";"18.6";"";"";"";"";"";"";
"09.08.2015 14:45";"23.4";"606.1";"";"-0.7";"83";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Fog or ice fog or thick haze.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"20.4";"";"";"";"";"";"";
"09.08.2015 11:45";"21.4";"606.8";"";"0.4";"89";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"09.08.2015 08:45";"21.3";"606.4";"";"0.2";"86";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.8";"5.0";"24";"";"";"";"";
"09.08.2015 05:45";"17.7";"606.2";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.4";"17.7";"";"";"";"";"";"";
"08.08.2015 17:45";"21.8";"606.0";"";"-1.2";"88";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"22.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"19.8";"5.0";"9";"";"";"";"";
"08.08.2015 14:45";"20.1";"607.2";"";"-0.9";"96";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.4";"";"";"";"";"";"";
"08.08.2015 11:45";"18.8";"608.1";"";"";"100";"Wind blowing from the east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Drizzle.";"Drizzle.";"";"";"";"";"";"";"";"0.3";"18.8";"";"";"";"";"";"";
"08.08.2015 08:45";"17.8";"607.6";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, continuous, moderate at time of observation. ";"Drizzle.";"Drizzle.";"17.2";"";"";"";"Less than  50";"";"";"0.3";"17.8";"11.0";"24";"";"";"";"";
"07.08.2015 17:45";"17.8";"605.8";"";"-0.3";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"19.5";"";"";"";"";"";"0.2";"17.8";"1.0";"9";"";"";"";"";
"07.08.2015 14:45";"18.5";"606.1";"781.0";"-0.6";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"Less than  50";"";"";"0.4";"18.5";"";"";"";"";"";"";
"07.08.2015 11:45";"18.5";"606.7";"";"0.3";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Drizzle.";"Drizzle.";"";"";"";"";"Less than  50";"";"";"0.2";"18.5";"";"";"";"";"";"";
"07.08.2015 08:45";"17.5";"606.4";"";"1.0";"100";"Wind blowing from the east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Drizzle.";"17.2";"";"";"";"";"";"";"0.3";"17.5";"5.0";"24";"";"";"";"";
"07.08.2015 05:45";"17.2";"605.4";"780.4";"";"100";"Wind blowing from the east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"";"";"";"";"";"";"Less than  50";"";"";"less than 0.1";"17.2";"";"";"";"";"";"";
"06.08.2015 17:45";"19.9";"605.2";"";"-0.2";"92";"Wind blowing from the south";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"21.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.3";"18.5";"No precipitation";"9";"";"";"";"";
"06.08.2015 14:45";"20.8";"605.4";"";"-0.7";"93";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Drizzle.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"Less than  50";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"19.7";"";"";"";"";"";"";
"06.08.2015 11:45";"20.2";"606.1";"750.1";"0.3";"91";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Drizzle.";"Fog or ice fog or thick haze.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"18.7";"";"";"";"";"";"";
"06.08.2015 08:45";"18.4";"605.8";"";"0.0";"96";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.7";"0.2";"24";"";"";"";"";
"06.08.2015 05:45";"17.6";"605.8";"";"";"100";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"05.08.2015 17:45";"21.3";"605.1";"";"";"92";"Wind blowing from the south";"2";"";"";"100%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"19.9";"No precipitation";"9";"";"";"";"";
"05.08.2015 14:45";"23.6";"605.5";"";"-1.1";"81";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"20.1";"";"";"";"";"";"";
"05.08.2015 11:45";"20.2";"606.6";"";"0.4";"91";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"200-300";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"18.7";"";"";"";"";"";"";
"05.08.2015 08:45";"18.5";"606.2";"";"0.1";"98";"Wind blowing from the east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.5";"";"";"";"";"";"";"0.4";"18.2";"No precipitation";"24";"";"";"";"";
"05.08.2015 05:45";"17.4";"606.1";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.3";"17.4";"";"";"";"";"";"";
"04.08.2015 17:45";"21.8";"605.7";"";"";"90";"Wind blowing from the south";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"24.1";"";"";"";"";"";"0.4";"20.1";"No precipitation";"9";"";"";"";"";
"04.08.2015 11:45";"23.1";"607.0";"";"0.1";"77";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"18.9";"";"";"";"";"";"";
"04.08.2015 08:45";"18.7";"606.9";"";"0.1";"100";"Wind blowing from the east";"3";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"18.7";"No precipitation";"24";"";"";"";"";
"04.08.2015 05:45";"18.4";"606.8";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.2";"18.4";"";"";"";"";"";"";
"03.08.2015 17:45";"21.6";"606.4";"";"-0.9";"90";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"26.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"19.9";"No precipitation";"9";"";"";"";"";
"03.08.2015 14:45";"25.4";"607.3";"";"-0.9";"69";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"19.3";"";"";"";"";"";"";
"03.08.2015 11:45";"24.7";"608.2";"";"-0.1";"75";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"19.9";"";"";"";"";"";"";
"03.08.2015 08:45";"21.9";"608.3";"";"0.7";"82";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"18.7";"3.0";"24";"";"";"";"";
"03.08.2015 05:45";"17.1";"607.6";"";"";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"16.0";"";"";"";"";"";"";
"02.08.2015 17:45";"19.2";"607.3";"";"-1.0";"95";"Wind blowing from the south";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"18.4";"3.0";"9";"";"";"";"";
"02.08.2015 14:45";"19.4";"608.3";"";"-1.0";"97";"Wind blowing from the east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Rain.";"Drizzle.";"";"";"";"";"";"";"";"0.5";"18.9";"";"";"";"";"";"";
"02.08.2015 11:45";"18.3";"609.3";"";"-0.1";"99";"Wind blowing from the east";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"0.2";"18.1";"";"";"";"";"";"";
"02.08.2015 08:45";"17.7";"609.4";"";"2.1";"100";"Wind blowing from the south";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"16.8";"";"";"";"";"";"";"0.2";"17.7";"20.0";"24";"";"";"";"";
"02.08.2015 05:45";"16.8";"607.3";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"";"";"";"";"";"";"";"";"";"0.3";"16.8";"";"";"";"";"";"";
"01.08.2015 17:45";"19.0";"607.1";"";"-0.3";"96";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"22.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"0.5";"18.4";"2.0";"9";"";"";"";"";
"01.08.2015 14:45";"19.8";"607.4";"";"-0.5";"95";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"19.0";"";"";"";"";"";"";
"01.08.2015 11:45";"20.4";"607.9";"";"0.9";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Fog or ice fog or thick haze.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"18.6";"";"";"";"";"";"";
"01.08.2015 08:45";"17.1";"607.0";"";"1.1";"100";"Wind blowing from the east";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Fog or ice fog or thick haze.";"Drizzle.";"16.5";"";"";"";"";"";"";"0.2";"17.1";"15.0";"24";"";"";"";"";
"01.08.2015 05:45";"16.6";"605.9";"";"";"100";"Wind blowing from the east";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"";"";"";"";"";"";"";"";"";"0.3";"16.6";"";"";"";"";"";"";
"31.07.2015 17:45";"18.4";"605.1";"";"-0.2";"96";"Wind blowing from the south-east";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"23.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.8";"4.0";"9";"";"";"";"";
"31.07.2015 14:45";"21.8";"605.3";"";"-0.3";"87";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"19.5";"";"";"";"";"";"";
"31.07.2015 11:45";"22.9";"605.6";"";"0.1";"76";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"18.4";"";"";"";"";"";"";
"31.07.2015 08:45";"18.6";"605.5";"";"0.2";"99";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"18.4";"No precipitation";"24";"";"";"";"";
"31.07.2015 05:45";"17.2";"605.3";"";"";"100";"Wind blowing from the east";"1";"";"";"60%.";"Mist. ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"17.2";"";"";"";"";"";"";
"30.07.2015 17:45";"22.0";"604.7";"";"-1.0";"86";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"24.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"19.5";"No precipitation";"9";"";"";"";"";
"30.07.2015 14:45";"24.0";"605.7";"";"";"72";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"7.0";"18.7";"";"";"";"";"";"";
"30.07.2015 08:45";"17.5";"605.7";"";"0.7";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.1";"";"";"";"";"";"";"0.3";"17.5";"0.3";"24";"";"";"";"";
"30.07.2015 05:45";"17.2";"605.0";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"17.2";"";"";"";"";"";"";
"29.07.2015 17:45";"23.4";"604.9";"";"-0.9";"82";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"26.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"20.1";"No precipitation";"9";"";"";"";"";
"29.07.2015 14:45";"25.5";"605.8";"";"-0.2";"73";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"20.3";"";"";"";"";"";"";
"29.07.2015 11:45";"25.1";"606.0";"";"0.1";"71";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"19.4";"";"";"";"";"";"";
"29.07.2015 08:45";"20.3";"605.9";"";"0.9";"78";"Wind blowing from the east";"2";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"16.3";"No precipitation";"24";"";"";"";"";
