# Weather station Mukteshwar / Kumaon, India, WMO_ID=42147,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42147&lang=en
#
"Local time in Mukteshwar / Kumaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.01.2016 11:30";"9.4";"583.8";"";"1.2";"44";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.5";"";"";"";"";"";"";
"31.01.2016 08:30";"5.6";"582.6";"";"";"57";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"2.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.4";"";"";"";"";"";"";
"30.01.2016 17:30";"10.6";"581.7";"";"-0.8";"53";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"16.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.2";"";"";"";"";"";"";
"30.01.2016 14:30";"14.0";"582.5";"";"-1.6";"34";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.7";"";"";"";"";"";"";
"30.01.2016 11:30";"13.4";"584.1";"";"0.5";"48";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.4";"";"";"";"";"";"";
"30.01.2016 08:30";"7.4";"583.6";"";"";"70";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"4.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.3";"";"";"";"";"";"";
"29.01.2016 17:30";"10.0";"583.4";"";"-0.5";"62";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"15.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.0";"";"";"";"";"";"";
"29.01.2016 14:30";"14.0";"583.9";"";"-1.0";"47";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.7";"";"";"";"";"";"";
"29.01.2016 11:30";"14.2";"584.9";"";"1.0";"42";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.4";"";"";"";"";"";"";
"29.01.2016 08:30";"9.2";"583.9";"";"";"47";"variable wind direction";"1";"";"";"40%.";" ";"";"";"4.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.7";"";"";"";"";"";"";
"28.01.2016 17:30";"8.6";"581.0";"";"0.1";"42";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"15.2";"";"";"";"";"";"4.0";"-3.7";"";"";"";"";"";"";
"28.01.2016 14:30";"14.0";"580.9";"";"-1.4";"28";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-4.3";"";"";"";"";"";"";
"28.01.2016 11:30";"11.2";"582.3";"";"0.7";"31";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-5.6";"";"";"";"";"";"";
"28.01.2016 08:30";"6.4";"581.6";"";"";"40";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"1.3";"";"";"";"";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"27.01.2016 17:30";"8.0";"580.0";"";"-0.2";"49";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"14.6";"";"";"";"";"";"4.0";"-2.1";"";"";"";"";"";"";
"27.01.2016 14:30";"13.8";"580.2";"";"-1.7";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-2.6";"";"";"";"";"";"";
"27.01.2016 11:30";"11.2";"581.9";"";"0.8";"29";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-6.4";"";"";"";"";"";"";
"27.01.2016 08:30";"5.2";"581.1";"";"";"40";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"0.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-7.4";"";"";"";"";"";"";
"26.01.2016 17:30";"8.6";"580.4";"";"-0.4";"50";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"13.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"26.01.2016 14:30";"12.2";"580.8";"";"-1.5";"29";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.3";"";"";"";"";"";"";
"26.01.2016 11:30";"8.4";"582.3";"";"0.6";"36";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-6.0";"";"";"";"";"";"";
"26.01.2016 08:30";"4.0";"581.7";"";"";"38";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"0.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-9.3";"";"";"";"";"";"";
"25.01.2016 17:30";"6.4";"580.4";"";"0.1";"58";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"12.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"25.01.2016 14:30";"11.8";"580.3";"";"-2.0";"22";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-9.5";"";"";"";"";"";"";
"25.01.2016 11:30";"11.0";"582.3";"";"0.6";"32";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-5.2";"";"";"";"";"";"";
"25.01.2016 08:30";"5.6";"581.7";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-0.7";"";"";"";"";"";"";"4.0";"-8.3";"";"";"";"";"";"";
"24.01.2016 17:30";"5.6";"581.9";"";"-0.2";"68";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"12.5";"";"";"";"";"";"2.0";"0.1";"";"";"";"";"";"";
"24.01.2016 14:30";"11.0";"582.1";"";"-1.3";"34";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"-4.5";"";"";"";"";"";"";
"24.01.2016 11:30";"9.0";"583.4";"";"0.8";"20";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"-13.1";"";"";"";"";"";"";
"24.01.2016 08:30";"7.4";"582.6";"";"";"17";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"0.3";"";"";"";"";"";"";"10.0";"-16.4";"";"";"";"";"";"";
"23.01.2016 17:30";"8.6";"582.6";"";"-0.5";"52";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"14.2";"";"";"";"";"";"4.0";"-0.8";"";"";"";"";"";"";
"23.01.2016 14:30";"12.4";"583.1";"";"-1.0";"33";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-3.6";"";"";"";"";"";"";
"23.01.2016 11:30";"11.2";"584.1";"";"0.9";"27";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-7.2";"";"";"";"";"";"";
"23.01.2016 08:30";"6.0";"583.2";"";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-1.1";"";"";"";"";"";"";"10.0";"-4.2";"";"";"";"";"";"";
"22.01.2016 17:30";"7.2";"582.0";"";"-0.3";"46";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"13.7";"";"";"";"";"";"4.0";"-3.8";"";"";"";"";"";"";
"22.01.2016 14:30";"12.4";"582.3";"";"-0.8";"33";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.6";"";"";"";"";"";"";
"22.01.2016 11:30";"11.4";"583.1";"";"0.9";"29";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.0";"";"";"";"";"";"";
"22.01.2016 08:30";"4.0";"582.2";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-0.7";"";"";"";"";"";"";"10.0";"-1.6";"";"";"";"";"";"";
"21.01.2016 17:30";"6.2";"581.7";"";"-0.2";"72";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"11.0";"";"";"";"";"";"2.0";"1.4";"";"";"";"";"";"";
"21.01.2016 14:30";"9.0";"581.9";"";"-1.3";"61";"variable wind direction";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"1.8";"";"";"";"";"";"";
"21.01.2016 11:30";"8.2";"583.2";"";"1.4";"55";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.3";"";"";"";"";"";"";
"21.01.2016 08:30";"2.0";"581.8";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-1.8";"";"";"";"";"";"";"10.0";"-2.3";"";"";"";"";"";"";
"20.01.2016 17:30";"2.8";"580.9";"";"0.1";"85";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"4.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"0.5";"";"";"";"";"";"";
"20.01.2016 14:30";"3.4";"580.8";"";"-0.9";"85";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"1.1";"";"";"";"";"";"";
"20.01.2016 11:30";"3.8";"581.7";"";"0.8";"77";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"0.1";"";"";"";"";"";"";
"20.01.2016 08:30";"-0.4";"580.9";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"-2.0";"";"";"";"Less than  50";"";"";"less than 0.05";"-0.4";"";"";"";"";"";"";
"19.01.2016 17:30";"2.4";"579.8";"";"-0.6";"68";"variable wind direction";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"5.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-2.9";"";"";"";"";"";"";
"19.01.2016 14:30";"1.8";"580.4";"";"-1.3";"72";"Wind blowing from the north-east";"2";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"-2.7";"";"";"";"";"";"";
"19.01.2016 11:30";"4.4";"581.7";"";"0.9";"55";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"1000-1500";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.9";"";"";"";"";"";"";
"19.01.2016 08:30";"3.6";"580.8";"";"";"36";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"2.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-10.1";"";"";"";"";"";"";
"18.01.2016 17:30";"7.4";"580.0";"";"-0.5";"66";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"13.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.3";"";"";"";"";"";"";
"18.01.2016 14:30";"12.2";"580.5";"";"-1.8";"39";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.5";"";"";"";"";"";"";
"18.01.2016 11:30";"11.2";"582.3";"";"0.8";"20";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-10.9";"";"";"";"";"";"";
"18.01.2016 08:30";"4.6";"581.5";"";"";"39";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"2.7";"";"";"";"";"";"";"10.0";"-8.2";"";"";"";"";"";"";
"17.01.2016 17:30";"5.6";"580.8";"";"-0.3";"71";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"11.3";"";"";"";"";"";"2.0";"0.6";"";"";"";"";"";"";
"17.01.2016 14:30";"10.4";"581.1";"";"-1.7";"34";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"-4.8";"";"";"";"";"";"";
"17.01.2016 11:30";"8.6";"582.8";"";"1.1";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-6.4";"";"";"";"";"";"";
"17.01.2016 08:30";"5.6";"581.7";"";"";"39";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"3.5";"";"";"";"";"";"";"10.0";"-7.5";"";"";"";"";"";"";
"16.01.2016 17:30";"9.2";"579.3";"";"-0.1";"45";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"14.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-2.2";"";"";"";"";"";"";
"16.01.2016 14:30";"11.8";"579.4";"";"-1.2";"47";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.7";"";"";"";"";"";"";
"16.01.2016 11:30";"10.8";"580.6";"";"0.7";"30";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"16.01.2016 08:30";"7.6";"579.9";"";"";"24";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"2.9";"";"";"";"";"";"";"10.0";"-11.9";"";"";"";"";"";"";
"15.01.2016 17:30";"8.0";"580.8";"";"-0.3";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"13.8";"";"";"";"";"";"4.0";"1.5";"";"";"";"";"";"";
"15.01.2016 14:30";"11.6";"581.1";"";"-1.3";"48";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.0";"";"";"";"";"";"";
"15.01.2016 11:30";"11.0";"582.4";"";"0.8";"35";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.9";"";"";"";"";"";"";
"15.01.2016 08:30";"7.0";"581.6";"";"";"52";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"2.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.3";"";"";"";"";"";"";
"14.01.2016 17:30";"5.4";"581.5";"";"-0.7";"73";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"10.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.9";"";"";"";"";"";"";
"14.01.2016 14:30";"8.2";"582.2";"";"-1.2";"62";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.3";"";"";"";"";"";"";
"14.01.2016 11:30";"9.2";"583.4";"";"1.1";"47";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-1.7";"";"";"";"";"";"";
"14.01.2016 08:30";"4.8";"582.3";"";"";"63";"variable wind direction";"1";"";"";"50%.";" ";"";"";"1.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-1.7";"";"";"";"";"";"";
"13.01.2016 17:30";"5.6";"581.1";"";"-0.4";"71";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"12.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.6";"";"";"";"";"";"";
"13.01.2016 14:30";"8.2";"581.5";"";"-1.1";"62";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.3";"";"";"";"";"";"";
"13.01.2016 11:30";"11.6";"582.6";"";"0.3";"33";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.2";"";"";"";"";"";"";
"13.01.2016 08:30";"5.0";"582.3";"";"";"51";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"-0.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-4.3";"";"";"";"";"";"";
"12.01.2016 17:30";"7.8";"581.7";"";"-0.6";"41";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"14.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.8";"";"";"";"";"";"";
"12.01.2016 14:30";"12.4";"582.3";"";"-1.3";"38";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.8";"";"";"";"";"";"";
"12.01.2016 11:30";"12.0";"583.6";"";"0.6";"32";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.3";"";"";"";"";"";"";
"12.01.2016 08:30";"6.2";"583.0";"";"";"47";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"2.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.5";"";"";"";"";"";"";
"11.01.2016 17:30";"7.2";"582.1";"";"-0.5";"80";"Wind blowing from the south-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"14.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"3.9";"";"";"";"";"";"";
"11.01.2016 14:30";"13.0";"582.6";"";"-1.5";"39";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-0.9";"";"";"";"";"";"";
"11.01.2016 11:30";"10.4";"584.1";"";"0.3";"46";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-0.7";"";"";"";"";"";"";
"11.01.2016 08:30";"5.4";"583.8";"";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.1";"";"";"";"";"";"";"4.0";"0.4";"";"";"";"";"";"";
"10.01.2016 17:30";"8.2";"582.9";"";"0.3";"74";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"15.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.7";"";"";"";"";"";"";
"10.01.2016 14:30";"23.6";"582.6";"";"-1.0";"24";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"1.6";"";"";"";"";"";"";
